Mar  1 14:05:56 cs219-laptop kernel: [  157.695525] rraa: 06:20:a6:57:ff:32 : tx_count: 13868, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:05:56 cs219-laptop kernel: [  157.697764] rraa: 06:20:a6:57:ff:32 : tx_count: 13908, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:05:57 cs219-laptop kernel: [  157.818477] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 48M, loss ratio: 36, window size: 40
Mar  1 14:05:57 cs219-laptop kernel: [  157.827066] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 14:05:58 cs219-laptop kernel: [  157.834485] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 14:05:58 cs219-laptop kernel: [  157.842520] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  1 14:05:58 cs219-laptop kernel: [  157.859749] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  1 14:05:59 cs219-laptop kernel: [  157.868496] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  1 14:05:59 cs219-laptop kernel: [  157.871735] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  1 14:05:59 cs219-laptop kernel: [  157.875599] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  1 14:05:59 cs219-laptop kernel: [  157.877064] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  1 14:05:59 cs219-laptop kernel: [  157.878388] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  1 14:05:59 cs219-laptop kernel: [  157.880678] rraa: 06:20:a6:57:ff:32 : tx_count: 15466, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 14:06:01 cs219-laptop kernel: [  157.915602] rraa: 06:20:a6:57:ff:32 : tx_count: 15478, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:06:01 cs219-laptop kernel: [  157.917163] rraa: 06:20:a6:57:ff:32 : tx_count: 15484, tx_rate: 5M, loss ratio: 25, window size: 6
Mar  1 14:06:02 cs219-laptop kernel: [  157.964664] rraa: 06:20:a6:57:ff:32 : tx_count: 15486, tx_rate: 2M, loss ratio: 95, window size: 6
Mar  1 14:06:02 cs219-laptop kernel: [  157.967617] rraa: 06:20:a6:57:ff:32 : tx_count: 15486, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 14:06:09 cs219-laptop kernel: [  163.044789] rraa: 06:20:a6:57:ff:32 : tx_count: 15493, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:06:09 cs219-laptop kernel: [  163.048427] rraa: 06:20:a6:57:ff:32 : tx_count: 15499, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 14:06:09 cs219-laptop kernel: [  163.049977] rraa: 06:20:a6:57:ff:32 : tx_count: 15505, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 14:06:09 cs219-laptop kernel: [  163.051251] rraa: 06:20:a6:57:ff:32 : tx_count: 15511, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 14:06:09 cs219-laptop kernel: [  163.054152] rraa: 06:20:a6:57:ff:32 : tx_count: 15521, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 14:06:10 cs219-laptop kernel: [  163.059466] rraa: 06:20:a6:57:ff:32 : tx_count: 15536, tx_rate: 12M, loss ratio: 0, window size: 20
