Mar  1 19:37:58 cs219-laptop kernel: [   25.132810] rraa: 06:20:a6:57:ff:32 : tx_count: 4410, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:37:58 cs219-laptop kernel: [   25.145539] rraa: 06:20:a6:57:ff:32 : tx_count: 4530, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:37:58 cs219-laptop kernel: [   25.150531] rraa: 06:20:a6:57:ff:32 : tx_count: 4570, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:37:58 cs219-laptop kernel: [   25.184311] rraa: 06:20:a6:57:ff:32 : tx_count: 4890, tx_rate: 48M, loss ratio: 29, window size: 40
Mar  1 19:37:58 cs219-laptop kernel: [   25.202729] rraa: 06:20:a6:57:ff:32 : tx_count: 5010, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.214034] rraa: 06:20:a6:57:ff:32 : tx_count: 5090, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.223545] rraa: 06:20:a6:57:ff:32 : tx_count: 5170, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.281401] rraa: 06:20:a6:57:ff:32 : tx_count: 5690, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.289315] rraa: 06:20:a6:57:ff:32 : tx_count: 5770, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.304552] rraa: 06:20:a6:57:ff:32 : tx_count: 5890, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:37:59 cs219-laptop kernel: [   25.308654] rraa: 06:20:a6:57:ff:32 : tx_count: 5930, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.394567] rraa: 06:20:a6:57:ff:32 : tx_count: 6610, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.399392] rraa: 06:20:a6:57:ff:32 : tx_count: 6650, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.402625] rraa: 06:20:a6:57:ff:32 : tx_count: 6690, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.420243] rraa: 06:20:a6:57:ff:32 : tx_count: 6850, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.440300] rraa: 06:20:a6:57:ff:32 : tx_count: 7010, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.451486] rraa: 06:20:a6:57:ff:32 : tx_count: 7090, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.459115] rraa: 06:20:a6:57:ff:32 : tx_count: 7170, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:00 cs219-laptop kernel: [   25.467515] rraa: 06:20:a6:57:ff:32 : tx_count: 7250, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.529189] rraa: 06:20:a6:57:ff:32 : tx_count: 7810, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.543021] rraa: 06:20:a6:57:ff:32 : tx_count: 7930, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.557315] rraa: 06:20:a6:57:ff:32 : tx_count: 8010, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.568038] rraa: 06:20:a6:57:ff:32 : tx_count: 8090, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.585716] rraa: 06:20:a6:57:ff:32 : tx_count: 8210, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.598995] rraa: 06:20:a6:57:ff:32 : tx_count: 8330, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.623353] rraa: 06:20:a6:57:ff:32 : tx_count: 8570, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:01 cs219-laptop kernel: [   25.632387] rraa: 06:20:a6:57:ff:32 : tx_count: 8650, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:02 cs219-laptop kernel: [   25.670771] rraa: 06:20:a6:57:ff:32 : tx_count: 8970, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:38:02 cs219-laptop kernel: [   25.689055] rraa: 06:20:a6:57:ff:32 : tx_count: 9130, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:02 cs219-laptop kernel: [   25.815948] rraa: 06:20:a6:57:ff:32 : tx_count: 10010, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:02 cs219-laptop kernel: [   25.823724] rraa: 06:20:a6:57:ff:32 : tx_count: 10050, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.837240] rraa: 06:20:a6:57:ff:32 : tx_count: 10170, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.843478] rraa: 06:20:a6:57:ff:32 : tx_count: 10210, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.864816] rraa: 06:20:a6:57:ff:32 : tx_count: 10250, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.876335] rraa: 06:20:a6:57:ff:32 : tx_count: 10330, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.969578] rraa: 06:20:a6:57:ff:32 : tx_count: 11210, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:38:03 cs219-laptop kernel: [   25.982926] rraa: 06:20:a6:57:ff:32 : tx_count: 11290, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   25.995775] rraa: 06:20:a6:57:ff:32 : tx_count: 11370, tx_rate: 48M, loss ratio: 9, window size: 40
