Mar  1 15:12:53 cs219-laptop kernel: [  621.094372] rraac1: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 2M, loss ratio: 25, window size: 6
Mar  1 15:12:53 cs219-laptop kernel: [  621.098772] rraac1: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 15:12:53 cs219-laptop kernel: [  621.107391] rraac1: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 15:12:53 cs219-laptop kernel: [  621.119936] rraac1: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 15:12:53 cs219-laptop kernel: [  621.127842] rraac1: 06:20:a6:57:ff:32 : tx_count: 35, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 15:12:54 cs219-laptop kernel: [  621.147540] rraac1: 06:20:a6:57:ff:32 : tx_count: 50, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 15:12:54 cs219-laptop kernel: [  621.162220] rraac1: 06:20:a6:57:ff:32 : tx_count: 70, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 15:12:54 cs219-laptop kernel: [  621.169247] rraac1: 06:20:a6:57:ff:32 : tx_count: 110, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.173991] rraac1: 06:20:a6:57:ff:32 : tx_count: 150, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.177802] rraac1: 06:20:a6:57:ff:32 : tx_count: 190, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.183281] rraac1: 06:20:a6:57:ff:32 : tx_count: 229, tx_rate: 36M, loss ratio: 52, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.192368] rraac1: 06:20:a6:57:ff:32 : tx_count: 252, tx_rate: 24M, loss ratio: 90, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.195283] rraac1: 06:20:a6:57:ff:32 : tx_count: 292, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.198646] rraac1: 06:20:a6:57:ff:32 : tx_count: 332, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.208891] rraac1: 06:20:a6:57:ff:32 : tx_count: 405, tx_rate: 36M, loss ratio: 73, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.217659] rraac1: 06:20:a6:57:ff:32 : tx_count: 443, tx_rate: 24M, loss ratio: 65, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.220497] rraac1: 06:20:a6:57:ff:32 : tx_count: 483, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 15:12:54 cs219-laptop kernel: [  621.223600] rraac1: 06:20:a6:57:ff:32 : tx_count: 523, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.226976] rraac1: 06:20:a6:57:ff:32 : tx_count: 563, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.232623] rraac1: 06:20:a6:57:ff:32 : tx_count: 643, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.242917] rraac1: 06:20:a6:57:ff:32 : tx_count: 723, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.252829] rraac1: 06:20:a6:57:ff:32 : tx_count: 803, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.255886] rraac1: 06:20:a6:57:ff:32 : tx_count: 843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.271651] rraac1: 06:20:a6:57:ff:32 : tx_count: 1083, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.274329] rraac1: 06:20:a6:57:ff:32 : tx_count: 1123, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.303964] rraac1: 06:20:a6:57:ff:32 : tx_count: 1483, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:12:55 cs219-laptop kernel: [  621.317387] rraac1: 06:20:a6:57:ff:32 : tx_count: 1603, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.346566] rraac1: 06:20:a6:57:ff:32 : tx_count: 1923, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.355085] rraac1: 06:20:a6:57:ff:32 : tx_count: 2003, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.410269] rraac1: 06:20:a6:57:ff:32 : tx_count: 2443, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.414480] rraac1: 06:20:a6:57:ff:32 : tx_count: 2483, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.454049] rraac1: 06:20:a6:57:ff:32 : tx_count: 2803, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 15:12:56 cs219-laptop kernel: [  621.466524] rraac1: 06:20:a6:57:ff:32 : tx_count: 2883, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:57 cs219-laptop kernel: [  621.561090] rraac1: 06:20:a6:57:ff:32 : tx_count: 3683, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:12:57 cs219-laptop kernel: [  621.565352] rraac1: 06:20:a6:57:ff:32 : tx_count: 3723, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:12:57 cs219-laptop kernel: [  621.581914] rraac1: 06:20:a6:57:ff:32 : tx_count: 3883, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:12:57 cs219-laptop kernel: [  621.592092] rraac1: 06:20:a6:57:ff:32 : tx_count: 3963, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:12:58 cs219-laptop kernel: [  621.711481] rraac1: 06:20:a6:57:ff:32 : tx_count: 4923, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:12:58 cs219-laptop kernel: [  621.715928] rraac1: 06:20:a6:57:ff:32 : tx_count: 4963, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:12:59 cs219-laptop kernel: [  621.879846] rraac1: 06:20:a6:57:ff:32 : tx_count: 6283, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:12:59 cs219-laptop kernel: [  621.891198] rraac1: 06:20:a6:57:ff:32 : tx_count: 6363, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.034563] rraac1: 06:20:a6:57:ff:32 : tx_count: 7603, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.048358] rraac1: 06:20:a6:57:ff:32 : tx_count: 7643, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.056473] rraac1: 06:20:a6:57:ff:32 : tx_count: 7723, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.059358] rraac1: 06:20:a6:57:ff:32 : tx_count: 7763, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.124964] rraac1: 06:20:a6:57:ff:32 : tx_count: 8403, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.131379] rraac1: 06:20:a6:57:ff:32 : tx_count: 8443, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.134182] rraac1: 06:20:a6:57:ff:32 : tx_count: 8483, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:13:00 cs219-laptop kernel: [  622.137012] rraac1: 06:20:a6:57:ff:32 : tx_count: 8523, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:01 cs219-laptop kernel: [  622.161731] rraac1: 06:20:a6:57:ff:32 : tx_count: 8843, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:01 cs219-laptop kernel: [  622.164927] rraac1: 06:20:a6:57:ff:32 : tx_count: 8883, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:01 cs219-laptop kernel: [  622.264758] rraac1: 06:20:a6:57:ff:32 : tx_count: 9763, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 15:13:01 cs219-laptop kernel: [  622.284861] rraac1: 06:20:a6:57:ff:32 : tx_count: 9803, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.341071] rraac1: 06:20:a6:57:ff:32 : tx_count: 10363, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.349381] rraac1: 06:20:a6:57:ff:32 : tx_count: 10403, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.377118] rraac1: 06:20:a6:57:ff:32 : tx_count: 10643, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.387288] rraac1: 06:20:a6:57:ff:32 : tx_count: 10763, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.399828] rraac1: 06:20:a6:57:ff:32 : tx_count: 10843, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.407422] rraac1: 06:20:a6:57:ff:32 : tx_count: 10923, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.425877] rraac1: 06:20:a6:57:ff:32 : tx_count: 11083, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:02 cs219-laptop kernel: [  622.431968] rraac1: 06:20:a6:57:ff:32 : tx_count: 11163, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:03 cs219-laptop kernel: [  622.473859] rraac1: 06:20:a6:57:ff:32 : tx_count: 11563, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:03 cs219-laptop kernel: [  622.479517] rraac1: 06:20:a6:57:ff:32 : tx_count: 11603, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:04 cs219-laptop kernel: [  622.669437] rraac1: 06:20:a6:57:ff:32 : tx_count: 13283, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:13:04 cs219-laptop kernel: [  622.692525] rraac1: 06:20:a6:57:ff:32 : tx_count: 13483, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 15:13:04 cs219-laptop kernel: [  622.695747] rraac1: 06:20:a6:57:ff:32 : tx_count: 13523, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:13:04 cs219-laptop kernel: [  622.698454] rraac1: 06:20:a6:57:ff:32 : tx_count: 13563, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:05 cs219-laptop kernel: [  622.808473] rraac1: 06:20:a6:57:ff:32 : tx_count: 14643, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:05 cs219-laptop kernel: [  622.835437] rraac1: 06:20:a6:57:ff:32 : tx_count: 14843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:05 cs219-laptop kernel: [  622.908396] rraac1: 06:20:a6:57:ff:32 : tx_count: 15523, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 15:13:05 cs219-laptop kernel: [  622.921030] rraac1: 06:20:a6:57:ff:32 : tx_count: 15643, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:06 cs219-laptop kernel: [  622.951075] rraac1: 06:20:a6:57:ff:32 : tx_count: 16003, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:06 cs219-laptop kernel: [  622.956232] rraac1: 06:20:a6:57:ff:32 : tx_count: 16043, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:06 cs219-laptop kernel: [  623.048039] rraac1: 06:20:a6:57:ff:32 : tx_count: 16923, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:13:06 cs219-laptop kernel: [  623.054711] rraac1: 06:20:a6:57:ff:32 : tx_count: 16963, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.154828] rraac1: 06:20:a6:57:ff:32 : tx_count: 17763, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.157672] rraac1: 06:20:a6:57:ff:32 : tx_count: 17803, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.172540] rraac1: 06:20:a6:57:ff:32 : tx_count: 17963, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.179007] rraac1: 06:20:a6:57:ff:32 : tx_count: 18003, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.183193] rraac1: 06:20:a6:57:ff:32 : tx_count: 18043, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.186483] rraac1: 06:20:a6:57:ff:32 : tx_count: 18083, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.204532] rraac1: 06:20:a6:57:ff:32 : tx_count: 18243, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:07 cs219-laptop kernel: [  623.207838] rraac1: 06:20:a6:57:ff:32 : tx_count: 18283, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:08 cs219-laptop kernel: [  623.255287] rraac1: 06:20:a6:57:ff:32 : tx_count: 18723, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:13:08 cs219-laptop kernel: [  623.258317] rraac1: 06:20:a6:57:ff:32 : tx_count: 18763, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:09 cs219-laptop kernel: [  623.446750] rraac1: 06:20:a6:57:ff:32 : tx_count: 20483, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:13:09 cs219-laptop kernel: [  623.458345] rraac1: 06:20:a6:57:ff:32 : tx_count: 20603, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.585964] rraac1: 06:20:a6:57:ff:32 : tx_count: 21763, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.604360] rraac1: 06:20:a6:57:ff:32 : tx_count: 21883, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.633363] rraac1: 06:20:a6:57:ff:32 : tx_count: 22163, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.641134] rraac1: 06:20:a6:57:ff:32 : tx_count: 22203, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.666109] rraac1: 06:20:a6:57:ff:32 : tx_count: 22483, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 15:13:10 cs219-laptop kernel: [  623.686953] rraac1: 06:20:a6:57:ff:32 : tx_count: 22643, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.720206] rraac1: 06:20:a6:57:ff:32 : tx_count: 22963, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.723678] rraac1: 06:20:a6:57:ff:32 : tx_count: 23003, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.795936] rraac1: 06:20:a6:57:ff:32 : tx_count: 23643, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.818211] rraac1: 06:20:a6:57:ff:32 : tx_count: 23843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.836944] rraac1: 06:20:a6:57:ff:32 : tx_count: 24003, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:11 cs219-laptop kernel: [  623.840049] rraac1: 06:20:a6:57:ff:32 : tx_count: 24043, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:12 cs219-laptop kernel: [  623.897571] rraac1: 06:20:a6:57:ff:32 : tx_count: 24603, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:13:12 cs219-laptop kernel: [  623.908775] rraac1: 06:20:a6:57:ff:32 : tx_count: 24683, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:12 cs219-laptop kernel: [  623.931354] rraac1: 06:20:a6:57:ff:32 : tx_count: 24843, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 15:13:12 cs219-laptop kernel: [  623.934274] rraac1: 06:20:a6:57:ff:32 : tx_count: 24883, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.006715] rraac1: 06:20:a6:57:ff:32 : tx_count: 25603, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.009345] rraac1: 06:20:a6:57:ff:32 : tx_count: 25643, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.050846] rraac1: 06:20:a6:57:ff:32 : tx_count: 26043, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.053503] rraac1: 06:20:a6:57:ff:32 : tx_count: 26083, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.059210] rraac1: 06:20:a6:57:ff:32 : tx_count: 26163, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 15:13:13 cs219-laptop kernel: [  624.062097] rraac1: 06:20:a6:57:ff:32 : tx_count: 26203, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:14 cs219-laptop kernel: [  624.203977] rraac1: 06:20:a6:57:ff:32 : tx_count: 27283, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:13:14 cs219-laptop kernel: [  624.207152] rraac1: 06:20:a6:57:ff:32 : tx_count: 27323, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:14 cs219-laptop kernel: [  624.214598] rraac1: 06:20:a6:57:ff:32 : tx_count: 27403, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:14 cs219-laptop kernel: [  624.228813] rraac1: 06:20:a6:57:ff:32 : tx_count: 27563, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:15 cs219-laptop kernel: [  624.360514] rraac1: 06:20:a6:57:ff:32 : tx_count: 28723, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 15:13:15 cs219-laptop kernel: [  624.376404] rraac1: 06:20:a6:57:ff:32 : tx_count: 28843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:15 cs219-laptop kernel: [  624.460036] rraac1: 06:20:a6:57:ff:32 : tx_count: 29563, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:13:15 cs219-laptop kernel: [  624.471836] rraac1: 06:20:a6:57:ff:32 : tx_count: 29683, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:16 cs219-laptop kernel: [  624.504632] rraac1: 06:20:a6:57:ff:32 : tx_count: 30003, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:16 cs219-laptop kernel: [  624.510460] rraac1: 06:20:a6:57:ff:32 : tx_count: 30083, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:16 cs219-laptop kernel: [  624.607988] rraac1: 06:20:a6:57:ff:32 : tx_count: 30923, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 15:13:16 cs219-laptop kernel: [  624.611496] rraac1: 06:20:a6:57:ff:32 : tx_count: 30963, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.699658] rraac1: 06:20:a6:57:ff:32 : tx_count: 31763, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.703959] rraac1: 06:20:a6:57:ff:32 : tx_count: 31803, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.717668] rraac1: 06:20:a6:57:ff:32 : tx_count: 31963, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.734373] rraac1: 06:20:a6:57:ff:32 : tx_count: 32043, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.737809] rraac1: 06:20:a6:57:ff:32 : tx_count: 32083, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.742193] rraac1: 06:20:a6:57:ff:32 : tx_count: 32123, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:13:17 cs219-laptop kernel: [  624.770841] rraac1: 06:20:a6:57:ff:32 : tx_count: 32443, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:13:18 cs219-laptop kernel: [  624.773687] rraac1: 06:20:a6:57:ff:32 : tx_count: 32483, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:13:19 cs219-laptop kernel: [  625.011418] rraac1: 06:20:a6:57:ff:32 : tx_count: 34523, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 15:13:19 cs219-laptop kernel: [  625.013971] rraac1: 06:20:a6:57:ff:32 : tx_count: 34563, tx_rate: 54M, loss ratio: 2, window size: 40
