Mar  1 13:03:00 cs219-laptop kernel: [   37.149774] rraa: 06:20:a6:57:ff:32 : tx_count: 11603, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:00 cs219-laptop kernel: [   37.161411] rraa: 06:20:a6:57:ff:32 : tx_count: 11763, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 13:03:00 cs219-laptop kernel: [   37.165281] rraa: 06:20:a6:57:ff:32 : tx_count: 11843, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:01 cs219-laptop kernel: [   37.191761] rraa: 06:20:a6:57:ff:32 : tx_count: 12203, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:01 cs219-laptop kernel: [   37.196601] rraa: 06:20:a6:57:ff:32 : tx_count: 12283, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:01 cs219-laptop kernel: [   37.273245] rraa: 06:20:a6:57:ff:32 : tx_count: 13123, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 13:03:01 cs219-laptop kernel: [   37.278509] rraa: 06:20:a6:57:ff:32 : tx_count: 13203, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.382030] rraa: 06:20:a6:57:ff:32 : tx_count: 14443, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.391822] rraa: 06:20:a6:57:ff:32 : tx_count: 14483, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.394050] rraa: 06:20:a6:57:ff:32 : tx_count: 14523, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.395754] rraa: 06:20:a6:57:ff:32 : tx_count: 14563, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.397945] rraa: 06:20:a6:57:ff:32 : tx_count: 14603, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:03:02 cs219-laptop kernel: [   37.407005] rraa: 06:20:a6:57:ff:32 : tx_count: 14683, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:04 cs219-laptop kernel: [   37.600110] rraa: 06:20:a6:57:ff:32 : tx_count: 16883, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:04 cs219-laptop kernel: [   37.604666] rraa: 06:20:a6:57:ff:32 : tx_count: 16963, tx_rate: 54M, loss ratio: 0, window size: 40
