Mar  1 15:18:22 cs219-laptop kernel: [  652.970222] rraac2: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 15:18:22 cs219-laptop kernel: [  652.974837] rraac2: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 15:18:22 cs219-laptop kernel: [  652.979078] rraac2: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 15:18:22 cs219-laptop kernel: [  652.983280] rraac2: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 15:18:22 cs219-laptop kernel: [  652.991714] rraac2: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 15:18:23 cs219-laptop kernel: [  653.009980] rraac2: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 15:18:23 cs219-laptop kernel: [  653.026001] rraac2: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 15:18:23 cs219-laptop kernel: [  653.029471] rraac2: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.038669] rraac2: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.042966] rraac2: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.062593] rraac2: 06:20:a6:57:ff:32 : tx_count: 284, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.066590] rraac2: 06:20:a6:57:ff:32 : tx_count: 324, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.073165] rraac2: 06:20:a6:57:ff:32 : tx_count: 362, tx_rate: 36M, loss ratio: 68, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.076401] rraac2: 06:20:a6:57:ff:32 : tx_count: 402, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.079413] rraac2: 06:20:a6:57:ff:32 : tx_count: 442, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.099615] rraac2: 06:20:a6:57:ff:32 : tx_count: 522, tx_rate: 48M, loss ratio: 35, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.104227] rraac2: 06:20:a6:57:ff:32 : tx_count: 559, tx_rate: 36M, loss ratio: 66, window size: 40
Mar  1 15:18:23 cs219-laptop kernel: [  653.106801] rraac2: 06:20:a6:57:ff:32 : tx_count: 599, tx_rate: 48M, loss ratio: 9, window size: 40
