Mar  1 20:44:09 cs219-laptop kernel: [  367.722384] rraac2: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:44:10 cs219-laptop kernel: [  367.728196] rraac2: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 20:44:10 cs219-laptop kernel: [  367.728223] rraac2: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 14, window size: 6
Mar  1 20:44:10 cs219-laptop kernel: [  367.735180] rraac2: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 5M, loss ratio: 60, window size: 6
Mar  1 20:44:10 cs219-laptop kernel: [  367.736736] rraac2: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 20:44:10 cs219-laptop kernel: [  367.738362] rraac2: 06:20:a6:57:ff:32 : tx_count: 31, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 20:44:10 cs219-laptop kernel: [  367.741740] rraac2: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 20:44:10 cs219-laptop kernel: [  367.744276] rraac2: 06:20:a6:57:ff:32 : tx_count: 56, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 20:44:10 cs219-laptop kernel: [  367.749508] rraac2: 06:20:a6:57:ff:32 : tx_count: 76, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 20:44:10 cs219-laptop kernel: [  367.759740] rraac2: 06:20:a6:57:ff:32 : tx_count: 136, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.764764] rraac2: 06:20:a6:57:ff:32 : tx_count: 176, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.771706] rraac2: 06:20:a6:57:ff:32 : tx_count: 216, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.776720] rraac2: 06:20:a6:57:ff:32 : tx_count: 256, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.797186] rraac2: 06:20:a6:57:ff:32 : tx_count: 416, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.807896] rraac2: 06:20:a6:57:ff:32 : tx_count: 456, tx_rate: 36M, loss ratio: 63, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.813193] rraac2: 06:20:a6:57:ff:32 : tx_count: 496, tx_rate: 24M, loss ratio: 61, window size: 40
Mar  1 20:44:10 cs219-laptop kernel: [  367.817706] rraac2: 06:20:a6:57:ff:32 : tx_count: 536, tx_rate: 18M, loss ratio: 29, window size: 20
Mar  1 20:44:10 cs219-laptop kernel: [  367.821391] rraac2: 06:20:a6:57:ff:32 : tx_count: 556, tx_rate: 12M, loss ratio: 41, window size: 20
Mar  1 20:44:10 cs219-laptop kernel: [  367.826794] rraac2: 06:20:a6:57:ff:32 : tx_count: 596, tx_rate: 18M, loss ratio: 13, window size: 20
Mar  1 20:44:10 cs219-laptop kernel: [  367.835729] rraac2: 06:20:a6:57:ff:32 : tx_count: 636, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.841748] rraac2: 06:20:a6:57:ff:32 : tx_count: 676, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.853459] rraac2: 06:20:a6:57:ff:32 : tx_count: 756, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.857737] rraac2: 06:20:a6:57:ff:32 : tx_count: 796, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.862770] rraac2: 06:20:a6:57:ff:32 : tx_count: 836, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.871076] rraac2: 06:20:a6:57:ff:32 : tx_count: 916, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.875429] rraac2: 06:20:a6:57:ff:32 : tx_count: 956, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.879317] rraac2: 06:20:a6:57:ff:32 : tx_count: 996, tx_rate: 36M, loss ratio: 20, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.892471] rraac2: 06:20:a6:57:ff:32 : tx_count: 1116, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.901340] rraac2: 06:20:a6:57:ff:32 : tx_count: 1196, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.907120] rraac2: 06:20:a6:57:ff:32 : tx_count: 1236, tx_rate: 48M, loss ratio: 41, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.916880] rraac2: 06:20:a6:57:ff:32 : tx_count: 1276, tx_rate: 36M, loss ratio: 62, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.924918] rraac2: 06:20:a6:57:ff:32 : tx_count: 1316, tx_rate: 24M, loss ratio: 41, window size: 40
Mar  1 20:44:11 cs219-laptop kernel: [  367.931424] rraac2: 06:20:a6:57:ff:32 : tx_count: 1354, tx_rate: 18M, loss ratio: 68, window size: 20
