Mar 10 20:44:05 cs219-laptop kernel: [ 1061.129374] rraa: 06:20:a6:57:ff:32 : tx_count: 489, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 20:44:05 cs219-laptop kernel: [ 1061.141263] rraa: 06:20:a6:57:ff:32 : tx_count: 495, tx_rate: 5M, loss ratio: 71, window size: 6
Mar 10 20:44:05 cs219-laptop kernel: [ 1061.146473] rraa: 06:20:a6:57:ff:32 : tx_count: 501, tx_rate: 2M, loss ratio: 66, window size: 6
Mar 10 20:44:05 cs219-laptop kernel: [ 1061.149775] rraa: 06:20:a6:57:ff:32 : tx_count: 507, tx_rate: 1M, loss ratio: 72, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.158190] rraa: 06:20:a6:57:ff:32 : tx_count: 519, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.160347] rraa: 06:20:a6:57:ff:32 : tx_count: 525, tx_rate: 1M, loss ratio: 45, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.163347] rraa: 06:20:a6:57:ff:32 : tx_count: 537, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.164279] rraa: 06:20:a6:57:ff:32 : tx_count: 543, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.165857] rraa: 06:20:a6:57:ff:32 : tx_count: 548, tx_rate: 2M, loss ratio: 78, window size: 6
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.170110] rraa: 00:12:f0:98:26:43 : tx_count: 51, tx_rate: 24M, loss ratio: 92, window size: 40
Mar 10 20:44:06 cs219-laptop kernel: [ 1061.170151] rraa: 06:20:a6:57:ff:32 : tx_count: 554, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 20:44:07 cs219-laptop kernel: [ 1061.200003] rraa: 06:20:a6:57:ff:32 : tx_count: 588, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 20:44:07 cs219-laptop kernel: [ 1061.207988] rraa: 06:20:a6:57:ff:32 : tx_count: 594, tx_rate: 1M, loss ratio: 53, window size: 6
Mar 10 20:44:07 cs219-laptop kernel: [ 1061.212390] rraa: 06:20:a6:57:ff:32 : tx_count: 605, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 20:44:07 cs219-laptop kernel: [ 1061.216003] rraa: 06:20:a6:57:ff:32 : tx_count: 611, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 20:44:07 cs219-laptop kernel: [ 1061.219815] rraa: 06:20:a6:57:ff:32 : tx_count: 615, tx_rate: 2M, loss ratio: 89, window size: 6
Mar 10 20:44:08 cs219-laptop kernel: [ 1061.224861] rraa: 06:20:a6:57:ff:32 : tx_count: 619, tx_rate: 1M, loss ratio: 87, window size: 6
Mar 10 20:44:08 cs219-laptop kernel: [ 1061.239012] rraa: 00:13:e8:1d:6a:29 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.256342] rraa: 06:20:a6:57:ff:32 : tx_count: 661, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.259870] rraa: 06:20:a6:57:ff:32 : tx_count: 666, tx_rate: 1M, loss ratio: 80, window size: 6
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.267639] rraa: 06:20:a6:57:ff:32 : tx_count: 675, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.270558] rraa: 06:20:a6:57:ff:32 : tx_count: 681, tx_rate: 5M, loss ratio: 33, window size: 6
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.273531] rraa: 06:20:a6:57:ff:32 : tx_count: 686, tx_rate: 2M, loss ratio: 76, window size: 6
Mar 10 20:44:09 cs219-laptop kernel: [ 1061.277396] rraa: 06:20:a6:57:ff:32 : tx_count: 692, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 20:44:10 cs219-laptop kernel: [ 1061.298372] rraa: 06:20:a6:57:ff:32 : tx_count: 722, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:10 cs219-laptop kernel: [ 1061.304613] rraa: 06:20:a6:57:ff:32 : tx_count: 728, tx_rate: 1M, loss ratio: 45, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.307437] rraa: 06:20:a6:57:ff:32 : tx_count: 734, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.309512] rraa: 06:20:a6:57:ff:32 : tx_count: 740, tx_rate: 1M, loss ratio: 57, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.317434] rraa: 06:20:a6:57:ff:32 : tx_count: 752, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.319822] rraa: 06:20:a6:57:ff:32 : tx_count: 758, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.323132] rraa: 06:20:a6:57:ff:32 : tx_count: 763, tx_rate: 2M, loss ratio: 79, window size: 6
Mar 10 20:44:11 cs219-laptop kernel: [ 1061.325208] rraa: 06:20:a6:57:ff:32 : tx_count: 766, tx_rate: 1M, loss ratio: 93, window size: 6
Mar 10 20:44:13 cs219-laptop kernel: [ 1061.382359] rraa: 00:12:f0:98:26:43 : tx_count: 71, tx_rate: 18M, loss ratio: 91, window size: 20
Mar 10 20:44:14 cs219-laptop kernel: [ 1061.401621] rraa: 06:20:a6:57:ff:32 : tx_count: 861, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:14 cs219-laptop kernel: [ 1061.406005] rraa: 06:20:a6:57:ff:32 : tx_count: 867, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 20:44:15 cs219-laptop kernel: [ 1061.428534] rraa: 06:20:a6:57:ff:32 : tx_count: 897, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 20:44:15 cs219-laptop kernel: [ 1061.432962] rraa: 06:20:a6:57:ff:32 : tx_count: 903, tx_rate: 1M, loss ratio: 60, window size: 6
