Mar  1 14:30:29 cs219-laptop kernel: [  305.330926] rraac3: 06:20:a6:57:ff:32 : tx_count: 170, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 14:30:29 cs219-laptop kernel: [  305.334003] rraac3: 06:20:a6:57:ff:32 : tx_count: 210, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.349423] rraac3: 06:20:a6:57:ff:32 : tx_count: 273, tx_rate: 48M, loss ratio: 90, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.361168] rraac3: 06:20:a6:57:ff:32 : tx_count: 300, tx_rate: 36M, loss ratio: 90, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.367743] rraac3: 06:20:a6:57:ff:32 : tx_count: 380, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.370811] rraac3: 06:20:a6:57:ff:32 : tx_count: 420, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.380413] rraac3: 06:20:a6:57:ff:32 : tx_count: 453, tx_rate: 48M, loss ratio: 77, window size: 40
Mar  1 14:30:30 cs219-laptop kernel: [  305.398280] rraac3: 06:20:a6:57:ff:32 : tx_count: 455, tx_rate: 36M, loss ratio: 99, window size: 40
Mar  1 14:30:33 cs219-laptop kernel: [  305.629332] rraac3: 06:20:a6:57:ff:32 : tx_count: 466, tx_rate: 24M, loss ratio: 96, window size: 40
Mar  1 14:30:40 cs219-laptop kernel: [  306.312046] rraac3: 06:20:a6:57:ff:32 : tx_count: 506, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 14:30:40 cs219-laptop kernel: [  306.321859] rraac3: 06:20:a6:57:ff:32 : tx_count: 546, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 14:30:40 cs219-laptop kernel: [  306.327679] rraac3: 06:20:a6:57:ff:32 : tx_count: 585, tx_rate: 36M, loss ratio: 40, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.333922] rraac3: 06:20:a6:57:ff:32 : tx_count: 622, tx_rate: 24M, loss ratio: 71, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.340674] rraac3: 06:20:a6:57:ff:32 : tx_count: 662, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.343671] rraac3: 06:20:a6:57:ff:32 : tx_count: 702, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.347525] rraac3: 06:20:a6:57:ff:32 : tx_count: 742, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.353534] rraac3: 06:20:a6:57:ff:32 : tx_count: 776, tx_rate: 48M, loss ratio: 81, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.368003] rraac3: 06:20:a6:57:ff:32 : tx_count: 789, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.371320] rraac3: 06:20:a6:57:ff:32 : tx_count: 829, tx_rate: 24M, loss ratio: 35, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.377820] rraac3: 06:20:a6:57:ff:32 : tx_count: 909, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.380934] rraac3: 06:20:a6:57:ff:32 : tx_count: 949, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.384008] rraac3: 06:20:a6:57:ff:32 : tx_count: 989, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.389145] rraac3: 06:20:a6:57:ff:32 : tx_count: 1029, tx_rate: 48M, loss ratio: 42, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.400980] rraac3: 06:20:a6:57:ff:32 : tx_count: 1040, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.407243] rraac3: 06:20:a6:57:ff:32 : tx_count: 1074, tx_rate: 24M, loss ratio: 80, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.411360] rraac3: 06:20:a6:57:ff:32 : tx_count: 1114, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 14:30:41 cs219-laptop kernel: [  306.414538] rraac3: 06:20:a6:57:ff:32 : tx_count: 1154, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.440464] rraac3: 06:20:a6:57:ff:32 : tx_count: 1234, tx_rate: 36M, loss ratio: 51, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.452114] rraac3: 06:20:a6:57:ff:32 : tx_count: 1271, tx_rate: 24M, loss ratio: 66, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.456960] rraac3: 06:20:a6:57:ff:32 : tx_count: 1311, tx_rate: 18M, loss ratio: 44, window size: 20
Mar  1 14:30:42 cs219-laptop kernel: [  306.463717] rraac3: 06:20:a6:57:ff:32 : tx_count: 1371, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.468030] rraac3: 06:20:a6:57:ff:32 : tx_count: 1411, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.472010] rraac3: 06:20:a6:57:ff:32 : tx_count: 1451, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.475012] rraac3: 06:20:a6:57:ff:32 : tx_count: 1491, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.478081] rraac3: 06:20:a6:57:ff:32 : tx_count: 1531, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.497961] rraac3: 06:20:a6:57:ff:32 : tx_count: 1542, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.505095] rraac3: 06:20:a6:57:ff:32 : tx_count: 1574, tx_rate: 24M, loss ratio: 83, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.551495] rraac3: 06:20:a6:57:ff:32 : tx_count: 1694, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 14:30:42 cs219-laptop kernel: [  306.555159] rraac3: 06:20:a6:57:ff:32 : tx_count: 1734, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:30:43 cs219-laptop kernel: [  306.560142] rraac3: 06:20:a6:57:ff:32 : tx_count: 1771, tx_rate: 36M, loss ratio: 58, window size: 40
