Mar 10 19:06:40 cs219-laptop kernel: [  294.319036] rraa: 06:20:a6:57:ff:32 : tx_count: 508, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.324715] rraa: 06:20:a6:57:ff:32 : tx_count: 526, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.326479] rraa: 06:20:a6:57:ff:32 : tx_count: 532, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.327723] rraa: 06:20:a6:57:ff:32 : tx_count: 538, tx_rate: 2M, loss ratio: 57, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.389047] rraa: 06:20:a6:57:ff:32 : tx_count: 544, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.389083] rraa: 06:20:a6:57:ff:32 : tx_count: 550, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.394686] rraa: 06:20:a6:57:ff:32 : tx_count: 556, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.397570] rraa: 06:20:a6:57:ff:32 : tx_count: 562, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.403747] rraa: 06:20:a6:57:ff:32 : tx_count: 568, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:06:41 cs219-laptop kernel: [  294.422546] rraa: 06:20:a6:57:ff:32 : tx_count: 578, tx_rate: 6M, loss ratio: 41, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.422582] rraa: 06:20:a6:57:ff:32 : tx_count: 584, tx_rate: 5M, loss ratio: 50, window size: 6
Mar 10 19:06:42 cs219-laptop kernel: [  294.425915] rraa: 06:20:a6:57:ff:32 : tx_count: 590, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 19:06:42 cs219-laptop kernel: [  294.427261] rraa: 06:20:a6:57:ff:32 : tx_count: 596, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:06:42 cs219-laptop kernel: [  294.432254] rraa: 06:20:a6:57:ff:32 : tx_count: 606, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 19:06:42 cs219-laptop kernel: [  294.433831] rraa: 06:20:a6:57:ff:32 : tx_count: 612, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 19:06:42 cs219-laptop kernel: [  294.437813] rraa: 00:23:4d:79:01:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:06:42 cs219-laptop kernel: [  294.438799] rraa: 06:20:a6:57:ff:32 : tx_count: 622, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 19:06:42 cs219-laptop kernel: [  294.447641] rraa: 06:20:a6:57:ff:32 : tx_count: 652, tx_rate: 9M, loss ratio: 37, window size: 10
Mar 10 19:06:43 cs219-laptop kernel: [  294.454689] rraa: 06:20:a6:57:ff:32 : tx_count: 692, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:43 cs219-laptop kernel: [  294.457087] rraa: 06:20:a6:57:ff:32 : tx_count: 707, tx_rate: 12M, loss ratio: 11, window size: 20
Mar 10 19:06:43 cs219-laptop kernel: [  294.465740] rraa: 06:20:a6:57:ff:32 : tx_count: 727, tx_rate: 11M, loss ratio: 37, window size: 15
Mar 10 19:06:43 cs219-laptop kernel: [  294.473121] rraa: 06:20:a6:57:ff:32 : tx_count: 771, tx_rate: 9M, loss ratio: 53, window size: 10
Mar 10 19:06:43 cs219-laptop kernel: [  294.477512] rraa: 06:20:a6:57:ff:32 : tx_count: 801, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:43 cs219-laptop kernel: [  294.486034] rraa: 06:20:a6:57:ff:32 : tx_count: 831, tx_rate: 12M, loss ratio: 6, window size: 20
Mar 10 19:06:43 cs219-laptop kernel: [  294.491331] rraa: 06:20:a6:57:ff:32 : tx_count: 871, tx_rate: 18M, loss ratio: 4, window size: 20
Mar 10 19:06:44 cs219-laptop kernel: [  294.499841] rraa: 06:20:a6:57:ff:32 : tx_count: 910, tx_rate: 12M, loss ratio: 53, window size: 20
Mar 10 19:06:44 cs219-laptop kernel: [  294.504061] rraa: 06:20:a6:57:ff:32 : tx_count: 930, tx_rate: 11M, loss ratio: 52, window size: 15
Mar 10 19:06:44 cs219-laptop kernel: [  294.508293] rraa: 06:20:a6:57:ff:32 : tx_count: 945, tx_rate: 9M, loss ratio: 59, window size: 10
Mar 10 19:06:44 cs219-laptop kernel: [  294.510296] rraa: 06:20:a6:57:ff:32 : tx_count: 955, tx_rate: 6M, loss ratio: 50, window size: 6
Mar 10 19:06:44 cs219-laptop kernel: [  294.511796] rraa: 06:20:a6:57:ff:32 : tx_count: 961, tx_rate: 5M, loss ratio: 60, window size: 6
Mar 10 19:06:44 cs219-laptop kernel: [  294.513259] rraa: 06:20:a6:57:ff:32 : tx_count: 967, tx_rate: 2M, loss ratio: 68, window size: 6
Mar 10 19:06:44 cs219-laptop kernel: [  294.514618] rraa: 06:20:a6:57:ff:32 : tx_count: 973, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 19:06:44 cs219-laptop kernel: [  294.515462] rraa: 06:20:a6:57:ff:32 : tx_count: 979, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:44 cs219-laptop kernel: [  294.516924] rraa: 06:20:a6:57:ff:32 : tx_count: 985, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.527082] rraa: 06:20:a6:57:ff:32 : tx_count: 1014, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.530389] rraa: 06:20:a6:57:ff:32 : tx_count: 1020, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.534820] rraa: 06:20:a6:57:ff:32 : tx_count: 1026, tx_rate: 2M, loss ratio: 50, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.539629] rraa: 06:20:a6:57:ff:32 : tx_count: 1032, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.545067] rraa: 06:20:a6:57:ff:32 : tx_count: 1038, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 10 19:06:45 cs219-laptop kernel: [  294.548195] rraa: 06:20:a6:57:ff:32 : tx_count: 1044, tx_rate: 9M, loss ratio: 25, window size: 10
Mar 10 19:06:46 cs219-laptop kernel: [  294.564924] rraa: 06:20:a6:57:ff:32 : tx_count: 1074, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:47 cs219-laptop kernel: [  294.719851] rraa: 06:20:a6:57:ff:32 : tx_count: 1149, tx_rate: 12M, loss ratio: 11, window size: 20
Mar 10 19:06:48 cs219-laptop kernel: [  294.794678] rraa: 06:20:a6:57:ff:32 : tx_count: 1169, tx_rate: 18M, loss ratio: 9, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.819548] rraa: 06:20:a6:57:ff:32 : tx_count: 1269, tx_rate: 12M, loss ratio: 42, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.844626] rraa: 06:20:a6:57:ff:32 : tx_count: 1309, tx_rate: 18M, loss ratio: 16, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.856679] rraa: 06:20:a6:57:ff:32 : tx_count: 1389, tx_rate: 12M, loss ratio: 44, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.887413] rraa: 06:20:a6:57:ff:32 : tx_count: 1429, tx_rate: 11M, loss ratio: 37, window size: 15
Mar 10 19:06:49 cs219-laptop kernel: [  294.891735] rraa: 06:20:a6:57:ff:32 : tx_count: 1459, tx_rate: 12M, loss ratio: 6, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.901250] rraa: 06:20:a6:57:ff:32 : tx_count: 1499, tx_rate: 18M, loss ratio: 9, window size: 20
Mar 10 19:06:49 cs219-laptop kernel: [  294.970464] rraa: 06:20:a6:57:ff:32 : tx_count: 1579, tx_rate: 12M, loss ratio: 39, window size: 20
Mar 10 19:06:50 cs219-laptop kernel: [  294.972423] rraa: 06:20:a6:57:ff:32 : tx_count: 1599, tx_rate: 18M, loss ratio: 9, window size: 20
Mar 10 19:06:50 cs219-laptop kernel: [  295.008300] rraa: 06:20:a6:57:ff:32 : tx_count: 1759, tx_rate: 24M, loss ratio: 0, window size: 40
Mar 10 19:06:50 cs219-laptop kernel: [  295.012223] rraa: 06:20:a6:57:ff:32 : tx_count: 1799, tx_rate: 18M, loss ratio: 28, window size: 20
Mar 10 19:06:51 cs219-laptop kernel: [  295.075152] rraa: 06:20:a6:57:ff:32 : tx_count: 2059, tx_rate: 24M, loss ratio: 4, window size: 40
Mar 10 19:06:51 cs219-laptop kernel: [  295.082450] rraa: 06:20:a6:57:ff:32 : tx_count: 2139, tx_rate: 36M, loss ratio: 14, window size: 40
Mar 10 19:06:51 cs219-laptop kernel: [  295.100547] rraa: 06:20:a6:57:ff:32 : tx_count: 2299, tx_rate: 48M, loss ratio: 2, window size: 40
