Mar 13 23:04:50 cs219-laptop kernel: [  435.517553] rraa: 06:20:a6:57:ff:32 : tx_count: 1446, tx_rate: 36M, loss ratio: 72, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.528474] rraa: 06:20:a6:57:ff:32 : tx_count: 1477, tx_rate: 24M, loss ratio: 80, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.565761] rraa: 06:20:a6:57:ff:32 : tx_count: 1504, tx_rate: 18M, loss ratio: 86, window size: 20
Mar 13 23:04:50 cs219-laptop kernel: [  435.567387] rraa: 06:20:a6:57:ff:32 : tx_count: 1524, tx_rate: 24M, loss ratio: 0, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.570412] rraa: 06:20:a6:57:ff:32 : tx_count: 1564, tx_rate: 36M, loss ratio: 2, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.572733] rraa: 06:20:a6:57:ff:32 : tx_count: 1604, tx_rate: 48M, loss ratio: 6, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.579875] rraa: 06:20:a6:57:ff:32 : tx_count: 1644, tx_rate: 36M, loss ratio: 40, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.587405] rraa: 06:20:a6:57:ff:32 : tx_count: 1675, tx_rate: 24M, loss ratio: 81, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.591293] rraa: 06:20:a6:57:ff:32 : tx_count: 1714, tx_rate: 18M, loss ratio: 51, window size: 20
Mar 13 23:04:51 cs219-laptop kernel: [  435.595762] rraa: 06:20:a6:57:ff:32 : tx_count: 1734, tx_rate: 12M, loss ratio: 44, window size: 20
Mar 13 23:04:51 cs219-laptop kernel: [  435.596909] rraa: 06:20:a6:57:ff:32 : tx_count: 1754, tx_rate: 18M, loss ratio: 4, window size: 20
Mar 13 23:04:51 cs219-laptop kernel: [  435.597979] rraa: 06:20:a6:57:ff:32 : tx_count: 1774, tx_rate: 24M, loss ratio: 0, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.600825] rraa: 06:20:a6:57:ff:32 : tx_count: 1814, tx_rate: 36M, loss ratio: 9, window size: 40
Mar 13 23:04:51 cs219-laptop kernel: [  435.603062] rraa: 06:20:a6:57:ff:32 : tx_count: 1854, tx_rate: 48M, loss ratio: 2, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.611132] rraa: 06:20:a6:57:ff:32 : tx_count: 1891, tx_rate: 36M, loss ratio: 68, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.615308] rraa: 06:20:a6:57:ff:32 : tx_count: 1971, tx_rate: 48M, loss ratio: 0, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.621207] rraa: 06:20:a6:57:ff:32 : tx_count: 2010, tx_rate: 36M, loss ratio: 36, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.623572] rraa: 06:20:a6:57:ff:32 : tx_count: 2050, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.625846] rraa: 06:20:a6:57:ff:32 : tx_count: 2089, tx_rate: 36M, loss ratio: 36, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.628133] rraa: 06:20:a6:57:ff:32 : tx_count: 2129, tx_rate: 48M, loss ratio: 4, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.636061] rraa: 06:20:a6:57:ff:32 : tx_count: 2289, tx_rate: 54M, loss ratio: 0, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.638886] rraa: 06:20:a6:57:ff:32 : tx_count: 2327, tx_rate: 48M, loss ratio: 42, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.641554] rraa: 06:20:a6:57:ff:32 : tx_count: 2367, tx_rate: 36M, loss ratio: 45, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.648166] rraa: 06:20:a6:57:ff:32 : tx_count: 2446, tx_rate: 24M, loss ratio: 48, window size: 40
Mar 13 23:04:52 cs219-laptop kernel: [  435.650166] rraa: 06:20:a6:57:ff:32 : tx_count: 2486, tx_rate: 36M, loss ratio: 0, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.652326] rraa: 06:20:a6:57:ff:32 : tx_count: 2526, tx_rate: 48M, loss ratio: 6, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.658256] rraa: 06:20:a6:57:ff:32 : tx_count: 2565, tx_rate: 36M, loss ratio: 36, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.661067] rraa: 06:20:a6:57:ff:32 : tx_count: 2604, tx_rate: 24M, loss ratio: 46, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.662980] rraa: 06:20:a6:57:ff:32 : tx_count: 2644, tx_rate: 36M, loss ratio: 4, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.664874] rraa: 06:20:a6:57:ff:32 : tx_count: 2684, tx_rate: 48M, loss ratio: 4, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.691039] rraa: 06:20:a6:57:ff:32 : tx_count: 2723, tx_rate: 36M, loss ratio: 45, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.698906] rraa: 06:20:a6:57:ff:32 : tx_count: 2803, tx_rate: 48M, loss ratio: 2, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.700955] rraa: 06:20:a6:57:ff:32 : tx_count: 2843, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.707715] rraa: 06:20:a6:57:ff:32 : tx_count: 2923, tx_rate: 48M, loss ratio: 21, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.721965] rraa: 06:20:a6:57:ff:32 : tx_count: 3000, tx_rate: 36M, loss ratio: 57, window size: 40
