Mar  1 18:55:34 cs219-laptop kernel: [  342.913739] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 18:55:34 cs219-laptop kernel: [  342.921090] rraac4: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 18:55:34 cs219-laptop kernel: [  342.921118] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 18:55:34 cs219-laptop kernel: [  342.924433] rraac4: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 18:55:34 cs219-laptop kernel: [  342.932631] rraac4: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 9, window size: 15
Mar  1 18:55:34 cs219-laptop kernel: [  342.934979] rraac4: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 18:55:34 cs219-laptop kernel: [  342.939082] rraac4: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 18:55:34 cs219-laptop kernel: [  342.942725] rraac4: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 18:55:34 cs219-laptop kernel: [  342.954964] rraac4: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 18:55:34 cs219-laptop kernel: [  342.960492] rraac4: 06:20:a6:57:ff:32 : tx_count: 204, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 18:55:34 cs219-laptop kernel: [  342.974702] rraac4: 06:20:a6:57:ff:32 : tx_count: 324, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:34 cs219-laptop kernel: [  342.980458] rraac4: 06:20:a6:57:ff:32 : tx_count: 364, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 18:55:35 cs219-laptop kernel: [  343.025969] rraac4: 06:20:a6:57:ff:32 : tx_count: 524, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:35 cs219-laptop kernel: [  343.050015] rraac4: 06:20:a6:57:ff:32 : tx_count: 724, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 18:55:35 cs219-laptop kernel: [  343.073579] rraac4: 06:20:a6:57:ff:32 : tx_count: 884, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:36 cs219-laptop kernel: [  343.201400] rraac4: 06:20:a6:57:ff:32 : tx_count: 2004, tx_rate: 2M, loss ratio: 4, window size: 6
Mar  1 18:55:36 cs219-laptop kernel: [  343.202154] rraac4: 06:20:a6:57:ff:32 : tx_count: 2010, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 18:55:36 cs219-laptop kernel: [  343.203244] rraac4: 06:20:a6:57:ff:32 : tx_count: 2016, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 18:55:36 cs219-laptop kernel: [  343.203271] rraac4: 06:20:a6:57:ff:32 : tx_count: 2022, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 18:55:36 cs219-laptop kernel: [  343.205723] rraac4: 06:20:a6:57:ff:32 : tx_count: 2042, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 18:55:36 cs219-laptop kernel: [  343.208590] rraac4: 06:20:a6:57:ff:32 : tx_count: 2072, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 18:55:36 cs219-laptop kernel: [  343.213307] rraac4: 06:20:a6:57:ff:32 : tx_count: 2092, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 18:55:37 cs219-laptop kernel: [  343.238450] rraac4: 06:20:a6:57:ff:32 : tx_count: 2112, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 18:55:37 cs219-laptop kernel: [  343.247391] rraac4: 06:20:a6:57:ff:32 : tx_count: 2152, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 18:55:37 cs219-laptop kernel: [  343.296106] rraac4: 06:20:a6:57:ff:32 : tx_count: 2432, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 18:55:37 cs219-laptop kernel: [  343.301083] rraac4: 06:20:a6:57:ff:32 : tx_count: 2472, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:39 cs219-laptop kernel: [  343.499938] rraac4: 06:20:a6:57:ff:32 : tx_count: 4152, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 18:55:39 cs219-laptop kernel: [  343.537297] rraac4: 06:20:a6:57:ff:32 : tx_count: 4472, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:39 cs219-laptop kernel: [  343.588953] rraac4: 06:20:a6:57:ff:32 : tx_count: 4952, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:55:39 cs219-laptop kernel: [  343.601771] rraac4: 06:20:a6:57:ff:32 : tx_count: 5072, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.630912] rraac4: 06:20:a6:57:ff:32 : tx_count: 5232, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.641748] rraac4: 06:20:a6:57:ff:32 : tx_count: 5312, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.646210] rraac4: 06:20:a6:57:ff:32 : tx_count: 5352, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.651309] rraac4: 06:20:a6:57:ff:32 : tx_count: 5392, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.707271] rraac4: 06:20:a6:57:ff:32 : tx_count: 5872, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 18:55:40 cs219-laptop kernel: [  343.727463] rraac4: 06:20:a6:57:ff:32 : tx_count: 6032, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:41 cs219-laptop kernel: [  343.774229] rraac4: 06:20:a6:57:ff:32 : tx_count: 6472, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 18:55:41 cs219-laptop kernel: [  343.777559] rraac4: 06:20:a6:57:ff:32 : tx_count: 6512, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:41 cs219-laptop kernel: [  343.845247] rraac4: 06:20:a6:57:ff:32 : tx_count: 7112, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 18:55:41 cs219-laptop kernel: [  343.890696] rraac4: 06:20:a6:57:ff:32 : tx_count: 7512, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  343.913102] rraac4: 06:20:a6:57:ff:32 : tx_count: 7672, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  343.925607] rraac4: 06:20:a6:57:ff:32 : tx_count: 7792, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  343.940140] rraac4: 06:20:a6:57:ff:32 : tx_count: 7872, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  343.953777] rraac4: 06:20:a6:57:ff:32 : tx_count: 7992, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  343.996786] rraac4: 06:20:a6:57:ff:32 : tx_count: 8272, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  344.008877] rraac4: 06:20:a6:57:ff:32 : tx_count: 8392, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  344.025028] rraac4: 06:20:a6:57:ff:32 : tx_count: 8512, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:55:42 cs219-laptop kernel: [  344.032684] rraac4: 06:20:a6:57:ff:32 : tx_count: 8592, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:43 cs219-laptop kernel: [  344.094912] rraac4: 06:20:a6:57:ff:32 : tx_count: 8992, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 18:55:43 cs219-laptop kernel: [  344.108996] rraac4: 06:20:a6:57:ff:32 : tx_count: 9112, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 18:55:43 cs219-laptop kernel: [  344.182240] rraac4: 06:20:a6:57:ff:32 : tx_count: 9832, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:55:43 cs219-laptop kernel: [  344.186592] rraac4: 06:20:a6:57:ff:32 : tx_count: 9872, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:55:44 cs219-laptop kernel: [  344.209868] rraac4: 06:20:a6:57:ff:32 : tx_count: 10072, tx_rate: 48M, loss ratio: 14, window size: 40
