Mar  1 15:36:01 cs219-laptop kernel: [  748.522049] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 15:36:01 cs219-laptop kernel: [  748.523875] rraac4: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 15:36:01 cs219-laptop kernel: [  748.525143] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 15:36:01 cs219-laptop kernel: [  748.526600] rraac4: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 15:36:01 cs219-laptop kernel: [  748.529276] rraac4: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 15:36:01 cs219-laptop kernel: [  748.537234] rraac4: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 15:36:02 cs219-laptop kernel: [  748.543439] rraac4: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 13, window size: 20
Mar  1 15:36:02 cs219-laptop kernel: [  748.547102] rraac4: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 12M, loss ratio: 44, window size: 20
Mar  1 15:36:02 cs219-laptop kernel: [  748.548540] rraac4: 06:20:a6:57:ff:32 : tx_count: 104, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 15:36:02 cs219-laptop kernel: [  748.549710] rraac4: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.552968] rraac4: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.558365] rraac4: 06:20:a6:57:ff:32 : tx_count: 244, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.560096] rraac4: 06:20:a6:57:ff:32 : tx_count: 284, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.569476] rraac4: 06:20:a6:57:ff:32 : tx_count: 484, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.571583] rraac4: 06:20:a6:57:ff:32 : tx_count: 524, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.573775] rraac4: 06:20:a6:57:ff:32 : tx_count: 564, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.579419] rraac4: 06:20:a6:57:ff:32 : tx_count: 644, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.585061] rraac4: 06:20:a6:57:ff:32 : tx_count: 764, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 15:36:02 cs219-laptop kernel: [  748.587027] rraac4: 06:20:a6:57:ff:32 : tx_count: 804, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:36:03 cs219-laptop kernel: [  748.621875] rraac4: 06:20:a6:57:ff:32 : tx_count: 1524, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:36:03 cs219-laptop kernel: [  748.623835] rraac4: 06:20:a6:57:ff:32 : tx_count: 1564, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:36:03 cs219-laptop kernel: [  748.641802] rraac4: 06:20:a6:57:ff:32 : tx_count: 1964, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:36:03 cs219-laptop kernel: [  748.643714] rraac4: 06:20:a6:57:ff:32 : tx_count: 2004, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:36:03 cs219-laptop kernel: [  748.671846] rraac4: 06:20:a6:57:ff:32 : tx_count: 2204, tx_rate: 48M, loss ratio: 13, window size: 40
