Mar  1 19:48:52 cs219-laptop kernel: [   86.238476] rraac1: 06:20:a6:57:ff:32 : tx_count: 3627, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:48:52 cs219-laptop kernel: [   86.248204] rraac1: 06:20:a6:57:ff:32 : tx_count: 3707, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:48:52 cs219-laptop kernel: [   86.265433] rraac1: 06:20:a6:57:ff:32 : tx_count: 3867, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:53 cs219-laptop kernel: [   86.277141] rraac1: 06:20:a6:57:ff:32 : tx_count: 3987, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:53 cs219-laptop kernel: [   86.285623] rraac1: 06:20:a6:57:ff:32 : tx_count: 4067, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:48:53 cs219-laptop kernel: [   86.350852] rraac1: 06:20:a6:57:ff:32 : tx_count: 4707, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:48:53 cs219-laptop kernel: [   86.381394] rraac1: 06:20:a6:57:ff:32 : tx_count: 4907, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.450514] rraac1: 06:20:a6:57:ff:32 : tx_count: 5507, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.456446] rraac1: 06:20:a6:57:ff:32 : tx_count: 5547, tx_rate: 36M, loss ratio: 33, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.471001] rraac1: 06:20:a6:57:ff:32 : tx_count: 5667, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.475731] rraac1: 06:20:a6:57:ff:32 : tx_count: 5707, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.504929] rraac1: 06:20:a6:57:ff:32 : tx_count: 5987, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.521601] rraac1: 06:20:a6:57:ff:32 : tx_count: 6147, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:54 cs219-laptop kernel: [   86.549740] rraac1: 06:20:a6:57:ff:32 : tx_count: 6307, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.576135] rraac1: 06:20:a6:57:ff:32 : tx_count: 6547, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.587338] rraac1: 06:20:a6:57:ff:32 : tx_count: 6667, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.595586] rraac1: 06:20:a6:57:ff:32 : tx_count: 6747, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.604110] rraac1: 06:20:a6:57:ff:32 : tx_count: 6787, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.609192] rraac1: 06:20:a6:57:ff:32 : tx_count: 6827, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.679057] rraac1: 06:20:a6:57:ff:32 : tx_count: 7507, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.683453] rraac1: 06:20:a6:57:ff:32 : tx_count: 7547, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.691728] rraac1: 06:20:a6:57:ff:32 : tx_count: 7587, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:48:55 cs219-laptop kernel: [   86.704454] rraac1: 06:20:a6:57:ff:32 : tx_count: 7707, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.723379] rraac1: 06:20:a6:57:ff:32 : tx_count: 7787, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.743771] rraac1: 06:20:a6:57:ff:32 : tx_count: 7947, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.758117] rraac1: 06:20:a6:57:ff:32 : tx_count: 8027, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.775675] rraac1: 06:20:a6:57:ff:32 : tx_count: 8187, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.796778] rraac1: 06:20:a6:57:ff:32 : tx_count: 8347, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.810745] rraac1: 06:20:a6:57:ff:32 : tx_count: 8467, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:56 cs219-laptop kernel: [   86.842438] rraac1: 06:20:a6:57:ff:32 : tx_count: 8747, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.860145] rraac1: 06:20:a6:57:ff:32 : tx_count: 8907, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.926631] rraac1: 06:20:a6:57:ff:32 : tx_count: 9547, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.931527] rraac1: 06:20:a6:57:ff:32 : tx_count: 9587, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.935606] rraac1: 06:20:a6:57:ff:32 : tx_count: 9627, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.939929] rraac1: 06:20:a6:57:ff:32 : tx_count: 9667, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.956356] rraac1: 06:20:a6:57:ff:32 : tx_count: 9827, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:48:57 cs219-laptop kernel: [   86.982517] rraac1: 06:20:a6:57:ff:32 : tx_count: 10027, tx_rate: 54M, loss ratio: 0, window size: 40
