Mar  1 13:15:51 cs219-laptop kernel: [  150.695294] rraac1: 06:20:a6:57:ff:32 : tx_count: 561, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:15:51 cs219-laptop kernel: [  150.708353] rraac1: 06:20:a6:57:ff:32 : tx_count: 681, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:15:52 cs219-laptop kernel: [  150.875067] rraac1: 06:20:a6:57:ff:32 : tx_count: 1921, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:15:52 cs219-laptop kernel: [  150.879456] rraac1: 06:20:a6:57:ff:32 : tx_count: 1961, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:54 cs219-laptop kernel: [  151.395945] rraac1: 06:20:a6:57:ff:32 : tx_count: 6121, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:15:54 cs219-laptop kernel: [  151.399215] rraac1: 06:20:a6:57:ff:32 : tx_count: 6161, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:55 cs219-laptop kernel: [  151.497444] rraac1: 06:20:a6:57:ff:32 : tx_count: 7041, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:15:55 cs219-laptop kernel: [  151.514058] rraac1: 06:20:a6:57:ff:32 : tx_count: 7201, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:55 cs219-laptop kernel: [  151.558643] rraac1: 06:20:a6:57:ff:32 : tx_count: 7601, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:15:55 cs219-laptop kernel: [  151.565135] rraac1: 06:20:a6:57:ff:32 : tx_count: 7681, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:56 cs219-laptop kernel: [  151.660209] rraac1: 06:20:a6:57:ff:32 : tx_count: 8521, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:15:56 cs219-laptop kernel: [  151.670377] rraac1: 06:20:a6:57:ff:32 : tx_count: 8641, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  151.943540] rraac1: 06:20:a6:57:ff:32 : tx_count: 11161, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  151.966559] rraac1: 06:20:a6:57:ff:32 : tx_count: 11361, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  151.969594] rraac1: 06:20:a6:57:ff:32 : tx_count: 11401, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  151.972644] rraac1: 06:20:a6:57:ff:32 : tx_count: 11441, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  152.055101] rraac1: 06:20:a6:57:ff:32 : tx_count: 12121, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:15:58 cs219-laptop kernel: [  152.067300] rraac1: 06:20:a6:57:ff:32 : tx_count: 12241, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:15:59 cs219-laptop kernel: [  152.199977] rraac1: 06:20:a6:57:ff:32 : tx_count: 13441, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:15:59 cs219-laptop kernel: [  152.215217] rraac1: 06:20:a6:57:ff:32 : tx_count: 13601, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.330257] rraac1: 06:20:a6:57:ff:32 : tx_count: 14601, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.333381] rraac1: 06:20:a6:57:ff:32 : tx_count: 14641, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.345132] rraac1: 06:20:a6:57:ff:32 : tx_count: 14801, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.351723] rraac1: 06:20:a6:57:ff:32 : tx_count: 14841, tx_rate: 36M, loss ratio: 33, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.365444] rraac1: 06:20:a6:57:ff:32 : tx_count: 15001, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.376474] rraac1: 06:20:a6:57:ff:32 : tx_count: 15081, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.394472] rraac1: 06:20:a6:57:ff:32 : tx_count: 15201, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:16:00 cs219-laptop kernel: [  152.410473] rraac1: 06:20:a6:57:ff:32 : tx_count: 15321, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:01 cs219-laptop kernel: [  152.501215] rraac1: 06:20:a6:57:ff:32 : tx_count: 16121, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:16:01 cs219-laptop kernel: [  152.515660] rraac1: 06:20:a6:57:ff:32 : tx_count: 16241, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:02 cs219-laptop kernel: [  152.668643] rraac1: 06:20:a6:57:ff:32 : tx_count: 17601, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:16:02 cs219-laptop kernel: [  152.679184] rraac1: 06:20:a6:57:ff:32 : tx_count: 17681, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.837088] rraac1: 06:20:a6:57:ff:32 : tx_count: 19121, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.840612] rraac1: 06:20:a6:57:ff:32 : tx_count: 19161, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.868709] rraac1: 06:20:a6:57:ff:32 : tx_count: 19201, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.875320] rraac1: 06:20:a6:57:ff:32 : tx_count: 19281, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.970222] rraac1: 06:20:a6:57:ff:32 : tx_count: 20001, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:16:03 cs219-laptop kernel: [  152.985329] rraac1: 06:20:a6:57:ff:32 : tx_count: 20121, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:05 cs219-laptop kernel: [  153.321217] rraac1: 06:20:a6:57:ff:32 : tx_count: 23001, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:16:05 cs219-laptop kernel: [  153.324436] rraac1: 06:20:a6:57:ff:32 : tx_count: 23041, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:05 cs219-laptop kernel: [  153.377497] rraac1: 06:20:a6:57:ff:32 : tx_count: 23521, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:16:05 cs219-laptop kernel: [  153.386404] rraac1: 06:20:a6:57:ff:32 : tx_count: 23601, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:16:06 cs219-laptop kernel: [  153.472701] rraac1: 06:20:a6:57:ff:32 : tx_count: 24401, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:16:06 cs219-laptop kernel: [  153.488075] rraac1: 06:20:a6:57:ff:32 : tx_count: 24561, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:08 cs219-laptop kernel: [  153.806401] rraac1: 06:20:a6:57:ff:32 : tx_count: 27361, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:16:08 cs219-laptop kernel: [  153.834127] rraac1: 06:20:a6:57:ff:32 : tx_count: 27601, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:16:08 cs219-laptop kernel: [  153.914662] rraac1: 06:20:a6:57:ff:32 : tx_count: 28281, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:16:08 cs219-laptop kernel: [  153.922176] rraac1: 06:20:a6:57:ff:32 : tx_count: 28321, tx_rate: 54M, loss ratio: 2, window size: 40
