Mar  1 20:07:21 cs219-laptop kernel: [  177.509582] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:07:21 cs219-laptop kernel: [  177.511622] rraac4: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 20:07:21 cs219-laptop kernel: [  177.513685] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 20:07:21 cs219-laptop kernel: [  177.515500] rraac4: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 20:07:21 cs219-laptop kernel: [  177.519684] rraac4: 06:20:a6:57:ff:32 : tx_count: 39, tx_rate: 11M, loss ratio: 9, window size: 15
Mar  1 20:07:21 cs219-laptop kernel: [  177.522597] rraac4: 06:20:a6:57:ff:32 : tx_count: 54, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 20:07:21 cs219-laptop kernel: [  177.528906] rraac4: 06:20:a6:57:ff:32 : tx_count: 74, tx_rate: 18M, loss ratio: 16, window size: 20
Mar  1 20:07:21 cs219-laptop kernel: [  177.551843] rraac4: 06:20:a6:57:ff:32 : tx_count: 194, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 20:07:21 cs219-laptop kernel: [  177.564485] rraac4: 06:20:a6:57:ff:32 : tx_count: 274, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 20:07:21 cs219-laptop kernel: [  177.570615] rraac4: 06:20:a6:57:ff:32 : tx_count: 314, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:07:21 cs219-laptop kernel: [  177.606067] rraac4: 06:20:a6:57:ff:32 : tx_count: 594, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:07:22 cs219-laptop kernel: [  177.679609] rraac4: 06:20:a6:57:ff:32 : tx_count: 994, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:07:22 cs219-laptop kernel: [  177.697969] rraac4: 06:20:a6:57:ff:32 : tx_count: 1034, tx_rate: 36M, loss ratio: 40, window size: 40
