Mar  7 17:19:52 cs219-laptop kernel: [ 1325.964429] rraac4: 06:20:a6:57:ff:32 : tx_count: 86, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  7 17:19:53 cs219-laptop kernel: [ 1326.189664] rraac4: 06:20:a6:57:ff:32 : tx_count: 106, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  7 17:19:53 cs219-laptop kernel: [ 1326.636920] rraac4: 06:20:a6:57:ff:32 : tx_count: 146, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:20:09 cs219-laptop kernel: [ 1342.754270] rraac4: 06:20:a6:57:ff:32 : tx_count: 1586, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:20:17 cs219-laptop kernel: [ 1350.375825] rraac4: 06:20:a6:57:ff:32 : tx_count: 2266, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:19 cs219-laptop kernel: [ 1352.618411] rraac4: 06:20:a6:57:ff:32 : tx_count: 2465, tx_rate: 36M, loss ratio: 46, window size: 40
Mar  7 17:20:20 cs219-laptop kernel: [ 1353.515477] rraac4: 06:20:a6:57:ff:32 : tx_count: 2545, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:20 cs219-laptop kernel: [ 1353.962439] rraac4: 06:20:a6:57:ff:32 : tx_count: 2579, tx_rate: 36M, loss ratio: 79, window size: 40
Mar  7 17:20:27 cs219-laptop kernel: [ 1355.411831] rraac4: 06:20:a6:57:ff:32 : tx_count: 2699, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:27 cs219-laptop kernel: [ 1355.860155] rraac4: 06:20:a6:57:ff:32 : tx_count: 2739, tx_rate: 36M, loss ratio: 56, window size: 40
Mar  7 17:20:32 cs219-laptop kernel: [ 1360.791754] rraac4: 06:20:a6:57:ff:32 : tx_count: 3179, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:33 cs219-laptop kernel: [ 1361.688406] rraac4: 06:20:a6:57:ff:32 : tx_count: 3257, tx_rate: 36M, loss ratio: 65, window size: 40
Mar  7 17:20:38 cs219-laptop kernel: [ 1366.642421] rraac4: 06:20:a6:57:ff:32 : tx_count: 3697, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:39 cs219-laptop kernel: [ 1367.096225] rraac4: 06:20:a6:57:ff:32 : tx_count: 3737, tx_rate: 36M, loss ratio: 50, window size: 40
Mar  7 17:20:43 cs219-laptop kernel: [ 1371.125689] rraac4: 06:20:a6:57:ff:32 : tx_count: 4097, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:43 cs219-laptop kernel: [ 1371.562807] rraac4: 06:20:a6:57:ff:32 : tx_count: 4129, tx_rate: 36M, loss ratio: 84, window size: 40
