output format
<time> <packet count> <tx rate>

17:34:14 266, 24M
17:34:14 267, 24M
17:34:14 268, 24M
17:34:14 269, 24M
17:34:14 270, 24M
17:34:14 271, 24M
17:34:14 272, 24M
17:34:14 273, 24M
17:34:14 274, 24M
17:34:14 275, 24M
17:34:14 276, 24M
17:34:14 277, 24M
17:34:14 278, 24M
17:34:14 279, 24M
17:34:14 280, 24M
17:34:14 281, 24M
17:34:14 282, 24M
17:34:14 283, 24M
17:34:14 284, 24M
17:34:14 285, 24M
17:34:14 286, 24M
17:34:14 287, 24M
17:34:14 288, 24M
17:34:14 289, 24M
17:34:14 290, 24M
17:34:14 291, 24M
17:34:14 292, 24M
17:34:14 293, 24M
17:34:14 294, 24M
17:34:14 295, 24M
17:34:14 296, 24M
17:34:14 297, 24M
17:34:14 298, 24M
17:34:14 299, 24M
17:34:14 300, 24M
17:34:14 301, 24M
17:34:14 302, 24M
17:34:14 303, 24M
17:34:14 304, 24M
17:34:14 305, 24M
17:34:14 306, 24M
17:34:14 307, 24M
17:34:14 308, 24M
17:34:14 309, 24M
17:34:14 310, 24M
17:34:14 311, 24M
17:34:14 312, 24M
17:34:14 313, 24M
17:34:14 314, 24M
17:34:14 315, 24M
17:34:14 316, 24M
17:34:14 317, 24M
17:34:14 318, 24M
17:34:14 319, 24M
17:34:14 320, 24M
17:34:14 321, 24M
17:34:14 322, 24M
17:34:14 323, 24M
17:34:14 324, 24M
17:34:14 325, 24M
17:34:14 326, 24M
17:34:14 327, 24M
17:34:14 328, 24M
17:34:14 329, 24M
17:34:14 330, 24M
17:34:14 331, 24M
17:34:14 332, 24M
17:34:14 333, 24M
17:34:14 334, 24M
17:34:14 335, 24M
17:34:14 336, 24M
17:34:14 337, 24M
17:34:14 338, 24M
17:34:14 339, 24M
17:34:14 340, 24M
17:34:14 341, 24M
17:34:14 342, 24M
17:34:14 343, 24M
17:34:14 344, 24M
17:34:14 345, 24M
17:34:14 346, 24M
17:34:14 347, 24M
17:34:14 348, 24M
17:34:14 349, 24M
17:34:14 06:20:a6:57:ff:32 tx_count:
17:34:14 351, 24M
17:34:14 352, 24M
17:34:14 353, 24M
17:34:14 354, 24M
17:34:14 355, 24M
17:34:14 356, 24M
17:34:14 357, 24M
17:34:14 358, 24M
17:34:14 359, 24M
17:34:14 360, 24M
17:34:14 361, 24M
17:34:14 362, 24M
17:34:14 363, 24M
17:34:14 364, 24M
17:34:14 365, 24M
17:34:14 366, 24M
17:34:14 367, 24M
17:34:14 368, 24M
17:34:14 369, 24M
17:34:14 370, 24M
17:34:14 371, 24M
17:34:14 372, 24M
17:34:14 373, 24M
17:34:14 374, 24M
17:34:14 375, 24M
17:34:14 376, 24M
17:34:14 377, 24M
17:34:14 378, 24M
17:34:14 379, 24M
17:34:14 380, 24M
17:34:14 381, 24M
17:34:14 382, 24M
17:34:14 383, 24M
17:34:14 384, 24M
17:34:14 385, 24M
17:34:14 386, 24M
17:34:14 387, 24M
17:34:14 388, 24M
17:34:14 389, 24M
17:34:14 390, 24M
17:34:14 391, 24M
17:34:14 392, 24M
17:34:14 393, 24M
17:34:14 394, 24M
17:34:14 395, 24M
17:34:14 396, 24M
17:34:14 397, 24M
17:34:14 398, 24M
17:34:14 399, 24M
17:34:14 400, 24M
17:34:14 401, 24M
17:34:14 402, 24M
17:34:14 403, 24M
17:34:14 404, 24M
17:34:14 405, 24M
17:34:14 406, 24M
17:34:14 407, 24M
17:34:14 408, 24M
17:34:14 409, 24M
17:34:14 410, 24M
17:34:14 411, 24M
17:34:14 412, 24M
17:34:14 413, 24M
17:34:14 414, 24M
17:34:14 415, 24M
17:34:14 416, 24M
17:34:14 417, 24M
17:34:14 418, 24M
17:34:14 419, 24M
17:34:14 420, 24M
17:34:14 421, 24M
17:34:14 422, 24M
17:34:14 423, 24M
17:34:14 424, 24M
17:34:14 425, 24M
17:34:14 426, 24M
17:34:14 427, 24M
17:34:14 428, 24M
17:34:14 429, 24M
17:34:14 430, 24M
17:34:14 431, 24M
17:34:14 432, 24M
17:34:14 433, 24M
17:34:14 434, 24M
17:34:14 435, 24M
17:34:14 436, 24M
17:34:14 437, 24M
17:34:14 438, 24M
17:34:14 439, 24M
17:34:14 440, 24M
17:34:14 441, 24M
17:34:14 442, 24M
17:34:14 443, 24M
17:34:14 444, 24M
17:34:14 445, 24M
17:34:14 446, 24M
17:34:14 447, 24M
17:34:14 448, 24M
17:34:14 449, 24M
17:34:14 450, 24M
17:34:14 451, 24M
17:34:14 452, 24M
17:34:14 453, 24M
17:34:14 454, 24M
17:34:14 455, 24M
17:34:14 456, 24M
17:34:14 457, 24M
17:34:14 458, 24M
17:34:14 459, 24M
17:34:14 460, 24M
17:34:14 461, 24M
17:34:14 462, 24M
17:34:14 463, 24M
17:34:14 464, 24M
17:34:14 465, 24M
17:34:14 466, 24M
17:34:14 467, 24M
17:34:14 468, 24M
17:34:14 469, 24M
17:34:14 470, 24M
17:34:14 471, 24M
17:34:14 472, 24M
17:34:14 473, 24M
17:34:14 474, 24M
17:34:14 475, 24M
17:34:14 476, 24M
17:34:14 477, 24M
17:34:14 478, 24M
17:34:14 479, 24M
17:34:14 480, 24M
17:34:14 481, 24M
17:34:14 482, 24M
17:34:14 483, 24M
17:34:14 484, 24M
17:34:14 485, 24M
17:34:14 486, 24M
17:34:14 487, 24M
17:34:14 488, 24M
17:34:14 489, 24M
17:34:14 490, 24M
17:34:14 491, 24M
17:34:14 492, 24M
17:34:14 493, 24M
17:34:14 494, 24M
17:34:14 495, 24M
17:34:14 496, 24M
17:34:14 497, 24M
17:34:14 498, 24M
17:34:14 499, 24M
17:34:14 500, 24M
17:34:14 501, 24M
17:34:14 502, 24M
17:34:14 503, 24M
17:34:14 504, 24M
17:34:14 505, 24M
17:34:14 506, 24M
17:34:14 507, 24M
17:34:14 508, 24M
17:34:14 509, 24M
17:34:14 510, 24M
17:34:14 511, 24M
17:34:14 512, 24M
17:34:14 513, 24M
17:34:14 514, 24M
17:34:14 515, 24M
17:34:14 516, 24M
17:34:14 517, 24M
17:34:14 518, 24M
17:34:14 519, 24M
17:34:14 520, 24M
17:34:14 521, 24M
17:34:14 522, 24M
17:34:14 523, 24M
17:34:14 524, 24M
17:34:14 525, 24M
17:34:14 526, 24M
17:34:14 527, 24M
17:34:14 528, 24M
17:34:14 529, 24M
17:34:14 530, 24M
17:34:14 531, 24M
17:34:14 532, 24M
17:34:14 533, 24M
17:34:14 534, 24M
17:34:14 535, 24M
17:34:14 536, 24M
17:34:14 537, 24M
17:34:14 538, 24M
17:34:14 539, 24M
17:34:14 540, 24M
17:34:14 541, 24M
17:34:14 542, 24M
17:34:14 543, 24M
17:34:14 544, 24M
17:34:14 545, 24M
17:34:14 546, 24M
17:34:14 547, 24M
17:34:14 548, 24M
17:34:14 549, 24M
17:34:14 550, 24M
17:34:14 551, 24M
17:34:14 552, 24M
17:34:14 553, 24M
17:34:14 554, 24M
17:34:14 555, 24M
17:34:14 556, 24M
17:34:14 557, 24M
17:34:15 558, 24M
17:34:15 559, 24M
17:34:15 560, 24M
17:34:15 561, 24M
17:34:15 562, 24M
17:34:15 563, 24M
17:34:15 564, 24M
17:34:15 565, 24M
17:34:15 566, 24M
17:34:15 567, 24M
17:34:15 568, 24M
17:34:15 569, 24M
17:34:15 570, 24M
17:34:15 571, 24M
17:34:15 572, 24M
17:34:15 573, 24M
17:34:15 574, 24M
17:34:15 575, 24M
17:34:15 576, 24M
17:34:15 577, 24M
17:34:15 578, 24M
17:34:15 579, 24M
17:34:15 580, 24M
17:34:15 581, 24M
17:34:15 582, 24M
17:34:15 583, 24M
17:34:15 584, 24M
17:34:15 585, 24M
17:34:15 586, 24M
17:34:15 587, 24M
17:34:15 588, 24M
17:34:15 589, 24M
17:34:15 590, 24M
17:34:15 591, 24M
17:34:15 592, 24M
17:34:15 593, 24M
17:34:15 594, 24M
17:34:15 595, 24M
17:34:15 596, 24M
17:34:15 597, 24M
17:34:15 598, 24M
17:34:15 599, 24M
17:34:15 600, 24M
17:34:15 601, 24M
17:34:15 602, 24M
17:34:15 603, 24M
17:34:15 604, 24M
17:34:15 605, 24M
17:34:15 606, 24M
17:34:15 607, 24M
17:34:15 608, 24M
17:34:15 609, 24M
17:34:15 610, 24M
17:34:15 611, 24M
17:34:15 612, 24M
17:34:15 613, 24M
17:34:15 614, 24M
17:34:15 615, 24M
17:34:15 616, 24M
17:34:15 617, 24M
17:34:15 618, 24M
17:34:15 619, 24M
17:34:15 620, 24M
17:34:15 621, 24M
17:34:15 622, 24M
17:34:15 623, 24M
17:34:15 624, 24M
17:34:15 625, 24M
17:34:15 626, 24M
17:34:15 627, 24M
17:34:15 628, 24M
17:34:15 629, 24M
17:34:15 630, 24M
17:34:15 631, 24M
17:34:15 632, 24M
17:34:15 633, 24M
17:34:15 634, 24M
17:34:15 635, 24M
17:34:15 636, 24M
17:34:15 637, 24M
17:34:15 638, 24M
17:34:15 639, 24M
17:34:15 640, 24M
17:34:15 641, 24M
17:34:15 642, 24M
17:34:15 643, 24M
17:34:15 644, 24M
17:34:15 645, 24M
17:34:15 646, 24M
17:34:15 647, 24M
17:34:15 648, 24M
17:34:15 649, 24M
17:34:15 650, 24M
17:34:15 651, 24M
17:34:15 652, 24M
17:34:15 653, 24M
17:34:15 654, 24M
17:34:15 655, 24M
17:34:15 656, 24M
17:34:15 657, 24M
17:34:15 658, 24M
17:34:15 659, 24M
17:34:15 660, 24M
17:34:15 661, 24M
17:34:15 662, 24M
17:34:15 663, 24M
17:34:15 664, 24M
17:34:15 665, 24M
17:34:15 666, 24M
17:34:15 667, 24M
17:34:15 668, 24M
17:34:15 669, 24M
17:34:15 670, 24M
17:34:15 671, 24M
17:34:15 672, 24M
17:34:15 673, 24M
17:34:15 674, 24M
17:34:15 675, 24M
17:34:15 676, 24M
17:34:15 677, 24M
17:34:15 678, 24M
17:34:15 679, 24M
17:34:15 680, 24M
17:34:15 681, 24M
17:34:15 682, 24M
17:34:15 683, 24M
17:34:15 684, 24M
17:34:15 685, 24M
17:34:15 686, 24M
17:34:15 687, 24M
17:34:15 688, 24M
17:34:15 689, 24M
17:34:15 690, 24M
17:34:15 691, 24M
17:34:15 692, 24M
17:34:15 693, 24M
17:34:15 694, 24M
17:34:15 695, 24M
17:34:15 696, 24M
17:34:15 697, 24M
17:34:15 698, 24M
17:34:15 699, 24M
17:34:15 700, 24M
17:34:15 701, 24M
17:34:15 702, 24M
17:34:15 703, 24M
17:34:15 704, 24M
17:34:15 705, 24M
17:34:15 706, 24M
17:34:15 707, 24M
17:34:15 708, 24M
17:34:15 709, 24M
17:34:15 710, 24M
17:34:15 711, 24M
17:34:15 712, 24M
17:34:15 713, 24M
17:34:15 714, 24M
