Mar 13 22:50:39 cs219-laptop kernel: [  381.452857] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 474
Mar 13 22:50:39 cs219-laptop kernel: [  381.471404] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 540
Mar 13 22:50:39 cs219-laptop kernel: [  381.471413] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 540
Mar 13 22:50:39 cs219-laptop kernel: [  381.489775] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 575
Mar 13 22:50:39 cs219-laptop kernel: [  381.489782] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 575
Mar 13 22:50:39 cs219-laptop kernel: [  381.490951] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 575
Mar 13 22:50:39 cs219-laptop kernel: [  381.490959] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 575
Mar 13 22:50:39 cs219-laptop kernel: [  381.492602] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 575
Mar 13 22:50:39 cs219-laptop kernel: [  381.492609] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 575
Mar 13 22:50:40 cs219-laptop kernel: [  381.495346] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 606
Mar 13 22:50:40 cs219-laptop kernel: [  381.496012] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 606
Mar 13 22:50:40 cs219-laptop kernel: [  381.497096] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 606
Mar 13 22:50:40 cs219-laptop kernel: [  381.497104] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 606
Mar 13 22:50:40 cs219-laptop kernel: [  381.502845] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 672
Mar 13 22:50:40 cs219-laptop kernel: [  381.502853] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 672
Mar 13 22:50:40 cs219-laptop kernel: [  381.503972] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 672
Mar 13 22:50:40 cs219-laptop kernel: [  381.503979] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 672
Mar 13 22:50:40 cs219-laptop kernel: [  381.511949] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 773
Mar 13 22:50:40 cs219-laptop kernel: [  381.511956] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 773
