Mar 10 20:09:52 cs219-laptop kernel: [  804.351104] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 96
Mar 10 20:09:52 cs219-laptop kernel: [  804.383632] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 96
Mar 10 20:09:52 cs219-laptop kernel: [  804.387592] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 127
Mar 10 20:09:52 cs219-laptop kernel: [  804.387600] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 127
Mar 10 20:09:52 cs219-laptop kernel: [  804.390723] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 127
Mar 10 20:09:52 cs219-laptop kernel: [  804.393515] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 162
Mar 10 20:09:53 cs219-laptop kernel: [  804.402096] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 193
Mar 10 20:09:53 cs219-laptop kernel: [  804.402104] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 193
Mar 10 20:09:53 cs219-laptop kernel: [  804.405766] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 228
Mar 10 20:09:53 cs219-laptop kernel: [  804.405773] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 228
Mar 10 20:09:53 cs219-laptop kernel: [  804.408124] 00:13:e8:1d:6a:29 minstrel: tx_rate 11, packet_count 74
Mar 10 20:09:53 cs219-laptop kernel: [  804.471437] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 294
Mar 10 20:09:53 cs219-laptop kernel: [  804.471447] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 294
Mar 10 20:09:54 cs219-laptop kernel: [  804.488291] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 325
Mar 10 20:09:54 cs219-laptop kernel: [  804.488299] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 325
Mar 10 20:09:54 cs219-laptop kernel: [  804.494367] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 325
Mar 10 20:09:54 cs219-laptop kernel: [  804.497387] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 75
Mar 10 20:09:54 cs219-laptop kernel: [  804.497409] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 360
Mar 10 20:09:54 cs219-laptop kernel: [  804.500367] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 391
Mar 10 20:09:55 cs219-laptop kernel: [  804.537517] 00:13:e8:1d:6a:29 minstrel: tx_rate 11, packet_count 76
Mar 10 20:09:57 cs219-laptop kernel: [  804.644654] 00:23:4d:79:01:32 minstrel: tx_rate 1, packet_count 0
Mar 10 20:10:00 cs219-laptop kernel: [  804.734425] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 78
Mar 10 20:10:03 cs219-laptop kernel: [  804.877659] 00:13:e8:1d:6a:29 minstrel: tx_rate 6, packet_count 81
Mar 10 20:10:03 cs219-laptop kernel: [  804.877669] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 81
Mar 10 20:10:03 cs219-laptop kernel: [  804.896990] 00:21:00:1c:2e:e9 minstrel: tx_rate 1, packet_count 0
Mar 10 20:10:08 cs219-laptop kernel: [  805.094184] 00:13:e8:1d:6a:29 minstrel: tx_rate 12, packet_count 87
Mar 10 20:10:08 cs219-laptop kernel: [  805.094194] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 87
Mar 10 20:10:09 cs219-laptop kernel: [  805.127517] 00:12:f0:12:69:85 minstrel: tx_rate 1, packet_count 0
Mar 10 20:10:10 cs219-laptop kernel: [  805.133716] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 3980
Mar 10 20:10:10 cs219-laptop kernel: [  805.135194] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 4012
Mar 10 20:10:10 cs219-laptop kernel: [  805.135201] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 4012
Mar 10 20:10:10 cs219-laptop kernel: [  805.143792] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 4046
Mar 10 20:10:10 cs219-laptop kernel: [  805.143800] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 4046
Mar 10 20:10:10 cs219-laptop kernel: [  805.155395] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 4112
Mar 10 20:10:15 cs219-laptop kernel: [  805.333391] 00:23:4e:d4:4b:f3 minstrel: tx_rate 1, packet_count 0
Mar 10 20:10:19 cs219-laptop kernel: [  805.502500] 00:13:e8:1d:6a:29 minstrel: tx_rate 18, packet_count 96
Mar 10 20:10:21 cs219-laptop kernel: [  805.544075] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 98
Mar 10 20:10:21 cs219-laptop kernel: [  805.598190] 00:13:e8:1d:6a:29 minstrel: tx_rate 2, packet_count 101
Mar 10 20:10:23 cs219-laptop kernel: [  805.643185] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 102
Mar 10 20:10:27 cs219-laptop kernel: [  805.901940] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 6585
Mar 10 20:10:27 cs219-laptop kernel: [  805.901952] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 6585
Mar 10 20:10:27 cs219-laptop kernel: [  805.907757] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 6651
Mar 10 20:10:27 cs219-laptop kernel: [  805.907765] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 6651
Mar 10 20:10:28 cs219-laptop kernel: [  805.921699] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 6686
Mar 10 20:10:28 cs219-laptop kernel: [  805.934105] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 6717
Mar 10 20:10:28 cs219-laptop kernel: [  805.934114] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 6717
Mar 10 20:10:28 cs219-laptop kernel: [  805.937847] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 6752
Mar 10 20:10:28 cs219-laptop kernel: [  805.937855] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 6752
Mar 10 20:10:28 cs219-laptop kernel: [  805.942524] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 6752
Mar 10 20:10:29 cs219-laptop kernel: [  805.987785] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 6849
Mar 10 20:10:29 cs219-laptop kernel: [  805.995869] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 6884
Mar 10 20:10:29 cs219-laptop kernel: [  805.997319] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 6884
Mar 10 20:10:29 cs219-laptop kernel: [  806.022267] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 6915
Mar 10 20:10:30 cs219-laptop kernel: [  806.048828] 00:13:e8:1d:6a:29 minstrel: tx_rate 11, packet_count 107
Mar 10 20:10:30 cs219-laptop kernel: [  806.048849] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 6981
Mar 10 20:10:30 cs219-laptop kernel: [  806.056616] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 7016
Mar 10 20:10:30 cs219-laptop kernel: [  806.056624] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7016
