Mar 10 19:02:18 cs219-laptop kernel: [  271.045195] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 289
Mar 10 19:02:18 cs219-laptop kernel: [  271.045201] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 289
Mar 10 19:02:18 cs219-laptop kernel: [  271.049731] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.049738] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.049744] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.050395] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.051258] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.051265] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 320
Mar 10 19:02:18 cs219-laptop kernel: [  271.052644] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.053180] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.055997] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.056012] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.056018] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.056774] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.056782] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.057589] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.057596] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 355
Mar 10 19:02:18 cs219-laptop kernel: [  271.059189] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 386
Mar 10 19:02:18 cs219-laptop kernel: [  271.059196] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 386
Mar 10 19:02:19 cs219-laptop kernel: [  271.062963] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 386
Mar 10 19:02:19 cs219-laptop kernel: [  271.062970] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 386
Mar 10 19:02:19 cs219-laptop kernel: [  271.062979] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 386
Mar 10 19:02:19 cs219-laptop kernel: [  271.062985] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 386
Mar 10 19:02:19 cs219-laptop kernel: [  271.064742] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.065117] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.065128] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.065134] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.066378] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.066385] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.066391] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.067865] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.067872] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.067878] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.068313] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.068320] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 421
Mar 10 19:02:19 cs219-laptop kernel: [  271.070181] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.070189] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.070199] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 452
