Mar  1 18:38:20 cs219-laptop kernel: [  264.012202] rraac4: 06:20:a6:57:ff:32 : tx_count: 201, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 18:38:20 cs219-laptop kernel: [  264.031948] rraac4: 06:20:a6:57:ff:32 : tx_count: 361, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:21 cs219-laptop kernel: [  264.166985] rraac4: 06:20:a6:57:ff:32 : tx_count: 1361, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:21 cs219-laptop kernel: [  264.172759] rraac4: 06:20:a6:57:ff:32 : tx_count: 1401, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:38:21 cs219-laptop kernel: [  264.212474] rraac4: 06:20:a6:57:ff:32 : tx_count: 1681, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:22 cs219-laptop kernel: [  264.222592] rraac4: 06:20:a6:57:ff:32 : tx_count: 1761, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:22 cs219-laptop kernel: [  264.264794] rraac4: 06:20:a6:57:ff:32 : tx_count: 2041, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:22 cs219-laptop kernel: [  264.277316] rraac4: 06:20:a6:57:ff:32 : tx_count: 2121, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:24 cs219-laptop kernel: [  264.481865] rraac4: 06:20:a6:57:ff:32 : tx_count: 3441, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 18:38:24 cs219-laptop kernel: [  264.498540] rraac4: 06:20:a6:57:ff:32 : tx_count: 3561, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:24 cs219-laptop kernel: [  264.533051] rraac4: 06:20:a6:57:ff:32 : tx_count: 3801, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:24 cs219-laptop kernel: [  264.542560] rraac4: 06:20:a6:57:ff:32 : tx_count: 3881, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:25 cs219-laptop kernel: [  264.586067] rraac4: 06:20:a6:57:ff:32 : tx_count: 4201, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 18:38:25 cs219-laptop kernel: [  264.601338] rraac4: 06:20:a6:57:ff:32 : tx_count: 4321, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:25 cs219-laptop kernel: [  264.660678] rraac4: 06:20:a6:57:ff:32 : tx_count: 4841, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:25 cs219-laptop kernel: [  264.671260] rraac4: 06:20:a6:57:ff:32 : tx_count: 4921, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:38:25 cs219-laptop kernel: [  264.677789] rraac4: 06:20:a6:57:ff:32 : tx_count: 4961, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 18:38:26 cs219-laptop kernel: [  264.699906] rraac4: 06:20:a6:57:ff:32 : tx_count: 5041, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 18:38:27 cs219-laptop kernel: [  264.770819] rraac4: 06:20:a6:57:ff:32 : tx_count: 5481, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 18:38:27 cs219-laptop kernel: [  264.795302] rraac4: 06:20:a6:57:ff:32 : tx_count: 5641, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 18:38:28 cs219-laptop kernel: [  264.939560] rraac4: 06:20:a6:57:ff:32 : tx_count: 6601, tx_rate: 48M, loss ratio: 16, window size: 40
