Mar  1 20:14:17 cs219-laptop kernel: [  210.644530] rraac4: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.670888] rraac4: 06:20:a6:57:ff:32 : tx_count: 201, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.675644] rraac4: 06:20:a6:57:ff:32 : tx_count: 241, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.685284] rraac4: 06:20:a6:57:ff:32 : tx_count: 321, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.693967] rraac4: 06:20:a6:57:ff:32 : tx_count: 401, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.705426] rraac4: 06:20:a6:57:ff:32 : tx_count: 481, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.709642] rraac4: 06:20:a6:57:ff:32 : tx_count: 521, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.732032] rraac4: 06:20:a6:57:ff:32 : tx_count: 681, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.736771] rraac4: 06:20:a6:57:ff:32 : tx_count: 721, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:17 cs219-laptop kernel: [  210.742853] rraac4: 06:20:a6:57:ff:32 : tx_count: 761, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.772791] rraac4: 06:20:a6:57:ff:32 : tx_count: 961, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.779790] rraac4: 06:20:a6:57:ff:32 : tx_count: 1001, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.801604] rraac4: 06:20:a6:57:ff:32 : tx_count: 1121, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.806766] rraac4: 06:20:a6:57:ff:32 : tx_count: 1161, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.837516] rraac4: 06:20:a6:57:ff:32 : tx_count: 1401, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.844798] rraac4: 06:20:a6:57:ff:32 : tx_count: 1441, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.852145] rraac4: 06:20:a6:57:ff:32 : tx_count: 1481, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:14:18 cs219-laptop kernel: [  210.858325] rraac4: 06:20:a6:57:ff:32 : tx_count: 1521, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.890308] rraac4: 06:20:a6:57:ff:32 : tx_count: 1761, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.911042] rraac4: 06:20:a6:57:ff:32 : tx_count: 1801, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.944192] rraac4: 06:20:a6:57:ff:32 : tx_count: 1921, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.951237] rraac4: 06:20:a6:57:ff:32 : tx_count: 1961, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.956872] rraac4: 06:20:a6:57:ff:32 : tx_count: 2001, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.984236] rraac4: 06:20:a6:57:ff:32 : tx_count: 2121, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  210.988913] rraac4: 06:20:a6:57:ff:32 : tx_count: 2161, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  211.008378] rraac4: 06:20:a6:57:ff:32 : tx_count: 2321, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  211.018039] rraac4: 06:20:a6:57:ff:32 : tx_count: 2361, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  211.039509] rraac4: 06:20:a6:57:ff:32 : tx_count: 2401, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:19 cs219-laptop kernel: [  211.096317] rraac4: 06:20:a6:57:ff:32 : tx_count: 2641, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.102121] rraac4: 06:20:a6:57:ff:32 : tx_count: 2681, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.127482] rraac4: 06:20:a6:57:ff:32 : tx_count: 2921, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.138145] rraac4: 06:20:a6:57:ff:32 : tx_count: 2961, tx_rate: 36M, loss ratio: 20, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.142269] rraac4: 06:20:a6:57:ff:32 : tx_count: 3001, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.164789] rraac4: 06:20:a6:57:ff:32 : tx_count: 3121, tx_rate: 36M, loss ratio: 21, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.169318] rraac4: 06:20:a6:57:ff:32 : tx_count: 3161, tx_rate: 24M, loss ratio: 29, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.177595] rraac4: 06:20:a6:57:ff:32 : tx_count: 3201, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.181414] rraac4: 06:20:a6:57:ff:32 : tx_count: 3241, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 20:14:20 cs219-laptop kernel: [  211.201793] rraac4: 06:20:a6:57:ff:32 : tx_count: 3361, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:14:21 cs219-laptop kernel: [  211.220066] rraac4: 06:20:a6:57:ff:32 : tx_count: 3521, tx_rate: 48M, loss ratio: 9, window size: 40
