Mar  1 14:43:37 cs219-laptop kernel: [  386.068964] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.115235] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.129177] rraac4: 06:20:a6:57:ff:32 : tx_count: 2, tx_rate: 24M, loss ratio: 99, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.139640] rraac4: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 18M, loss ratio: 85, window size: 20
Mar  1 14:43:38 cs219-laptop kernel: [  386.142289] rraac4: 06:20:a6:57:ff:32 : tx_count: 49, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.146660] rraac4: 06:20:a6:57:ff:32 : tx_count: 89, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.150594] rraac4: 06:20:a6:57:ff:32 : tx_count: 129, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.154841] rraac4: 06:20:a6:57:ff:32 : tx_count: 168, tx_rate: 36M, loss ratio: 29, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.183229] rraac4: 06:20:a6:57:ff:32 : tx_count: 176, tx_rate: 24M, loss ratio: 97, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.186536] rraac4: 06:20:a6:57:ff:32 : tx_count: 216, tx_rate: 36M, loss ratio: 11, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.189887] rraac4: 06:20:a6:57:ff:32 : tx_count: 256, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:43:38 cs219-laptop kernel: [  386.192725] rraac4: 06:20:a6:57:ff:32 : tx_count: 296, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:43:39 cs219-laptop kernel: [  386.213402] rraac4: 06:20:a6:57:ff:32 : tx_count: 301, tx_rate: 48M, loss ratio: 98, window size: 40
Mar  1 14:43:39 cs219-laptop kernel: [  386.271705] rraac4: 06:20:a6:57:ff:32 : tx_count: 301, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 14:43:39 cs219-laptop kernel: [  386.288819] rraac4: 06:20:a6:57:ff:32 : tx_count: 331, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:43:39 cs219-laptop kernel: [  386.290212] rraac4: 06:20:a6:57:ff:32 : tx_count: 337, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 14:43:39 cs219-laptop kernel: [  386.290722] rraac4: 06:20:a6:57:ff:32 : tx_count: 343, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 14:43:39 cs219-laptop kernel: [  386.291185] rraac4: 06:20:a6:57:ff:32 : tx_count: 349, tx_rate: 9M, loss ratio: 0, window size: 10
