Mar  1 20:57:55 cs219-laptop kernel: [   72.069504] rraac3: 06:20:a6:57:ff:32 : tx_count: 4120, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:55 cs219-laptop kernel: [   72.079105] rraac3: 06:20:a6:57:ff:32 : tx_count: 4200, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:55 cs219-laptop kernel: [   72.091735] rraac3: 06:20:a6:57:ff:32 : tx_count: 4320, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:55 cs219-laptop kernel: [   72.095918] rraac3: 06:20:a6:57:ff:32 : tx_count: 4360, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:55 cs219-laptop kernel: [   72.111201] rraac3: 06:20:a6:57:ff:32 : tx_count: 4480, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:55 cs219-laptop kernel: [   72.164774] rraac3: 06:20:a6:57:ff:32 : tx_count: 5000, tx_rate: 48M, loss ratio: 36, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.169911] rraac3: 06:20:a6:57:ff:32 : tx_count: 5040, tx_rate: 36M, loss ratio: 39, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.180105] rraac3: 06:20:a6:57:ff:32 : tx_count: 5120, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.198342] rraac3: 06:20:a6:57:ff:32 : tx_count: 5280, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.215033] rraac3: 06:20:a6:57:ff:32 : tx_count: 5440, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.218818] rraac3: 06:20:a6:57:ff:32 : tx_count: 5480, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.230818] rraac3: 06:20:a6:57:ff:32 : tx_count: 5600, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.234558] rraac3: 06:20:a6:57:ff:32 : tx_count: 5640, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.247344] rraac3: 06:20:a6:57:ff:32 : tx_count: 5760, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.251375] rraac3: 06:20:a6:57:ff:32 : tx_count: 5800, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.263805] rraac3: 06:20:a6:57:ff:32 : tx_count: 5920, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.268215] rraac3: 06:20:a6:57:ff:32 : tx_count: 5960, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.276604] rraac3: 06:20:a6:57:ff:32 : tx_count: 6040, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:57:56 cs219-laptop kernel: [   72.296501] rraac3: 06:20:a6:57:ff:32 : tx_count: 6200, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.312168] rraac3: 06:20:a6:57:ff:32 : tx_count: 6280, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.317219] rraac3: 06:20:a6:57:ff:32 : tx_count: 6320, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.325996] rraac3: 06:20:a6:57:ff:32 : tx_count: 6400, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.330024] rraac3: 06:20:a6:57:ff:32 : tx_count: 6440, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.341849] rraac3: 06:20:a6:57:ff:32 : tx_count: 6560, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.346314] rraac3: 06:20:a6:57:ff:32 : tx_count: 6600, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.371572] rraac3: 06:20:a6:57:ff:32 : tx_count: 6720, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.375527] rraac3: 06:20:a6:57:ff:32 : tx_count: 6760, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.393627] rraac3: 06:20:a6:57:ff:32 : tx_count: 6880, tx_rate: 48M, loss ratio: 35, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.412755] rraac3: 06:20:a6:57:ff:32 : tx_count: 7000, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.422409] rraac3: 06:20:a6:57:ff:32 : tx_count: 7080, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.426067] rraac3: 06:20:a6:57:ff:32 : tx_count: 7120, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.438473] rraac3: 06:20:a6:57:ff:32 : tx_count: 7240, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.443268] rraac3: 06:20:a6:57:ff:32 : tx_count: 7280, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:57 cs219-laptop kernel: [   72.456371] rraac3: 06:20:a6:57:ff:32 : tx_count: 7400, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.461151] rraac3: 06:20:a6:57:ff:32 : tx_count: 7440, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.473242] rraac3: 06:20:a6:57:ff:32 : tx_count: 7560, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.481455] rraac3: 06:20:a6:57:ff:32 : tx_count: 7640, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.532036] rraac3: 06:20:a6:57:ff:32 : tx_count: 8120, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.539196] rraac3: 06:20:a6:57:ff:32 : tx_count: 8160, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.543315] rraac3: 06:20:a6:57:ff:32 : tx_count: 8200, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.556171] rraac3: 06:20:a6:57:ff:32 : tx_count: 8320, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.577782] rraac3: 06:20:a6:57:ff:32 : tx_count: 8520, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.581824] rraac3: 06:20:a6:57:ff:32 : tx_count: 8560, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.594248] rraac3: 06:20:a6:57:ff:32 : tx_count: 8680, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:58 cs219-laptop kernel: [   72.600640] rraac3: 06:20:a6:57:ff:32 : tx_count: 8720, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.618235] rraac3: 06:20:a6:57:ff:32 : tx_count: 8880, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.625661] rraac3: 06:20:a6:57:ff:32 : tx_count: 8920, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.630053] rraac3: 06:20:a6:57:ff:32 : tx_count: 8960, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.634659] rraac3: 06:20:a6:57:ff:32 : tx_count: 9000, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.648776] rraac3: 06:20:a6:57:ff:32 : tx_count: 9080, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.684566] rraac3: 06:20:a6:57:ff:32 : tx_count: 9120, tx_rate: 36M, loss ratio: 34, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.692768] rraac3: 06:20:a6:57:ff:32 : tx_count: 9160, tx_rate: 24M, loss ratio: 42, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.698440] rraac3: 06:20:a6:57:ff:32 : tx_count: 9200, tx_rate: 36M, loss ratio: 11, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.703666] rraac3: 06:20:a6:57:ff:32 : tx_count: 9240, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.707983] rraac3: 06:20:a6:57:ff:32 : tx_count: 9280, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.716553] rraac3: 06:20:a6:57:ff:32 : tx_count: 9320, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.734703] rraac3: 06:20:a6:57:ff:32 : tx_count: 9480, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.744340] rraac3: 06:20:a6:57:ff:32 : tx_count: 9560, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.747931] rraac3: 06:20:a6:57:ff:32 : tx_count: 9600, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.765017] rraac3: 06:20:a6:57:ff:32 : tx_count: 9680, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:59 cs219-laptop kernel: [   72.785152] rraac3: 06:20:a6:57:ff:32 : tx_count: 9800, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.794291] rraac3: 06:20:a6:57:ff:32 : tx_count: 9880, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.802271] rraac3: 06:20:a6:57:ff:32 : tx_count: 9960, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.818367] rraac3: 06:20:a6:57:ff:32 : tx_count: 10080, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.831235] rraac3: 06:20:a6:57:ff:32 : tx_count: 10200, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.848525] rraac3: 06:20:a6:57:ff:32 : tx_count: 10360, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.852256] rraac3: 06:20:a6:57:ff:32 : tx_count: 10400, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.856075] rraac3: 06:20:a6:57:ff:32 : tx_count: 10440, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.860053] rraac3: 06:20:a6:57:ff:32 : tx_count: 10480, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.881137] rraac3: 06:20:a6:57:ff:32 : tx_count: 10680, tx_rate: 48M, loss ratio: 18, window size: 40
