Mar  1 19:17:32 cs219-laptop kernel: [  462.568006] rraac1: 06:20:a6:57:ff:32 : tx_count: 263562, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:17:32 cs219-laptop kernel: [  462.623036] rraac1: 06:20:a6:57:ff:32 : tx_count: 264242, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:17:33 cs219-laptop kernel: [  462.669381] rraac1: 06:20:a6:57:ff:32 : tx_count: 264482, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.792229] rraac2: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 19:18:40 cs219-laptop kernel: [  468.797404] rraac2: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:18:40 cs219-laptop kernel: [  468.800290] rraac2: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 19:18:40 cs219-laptop kernel: [  468.802629] rraac2: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:18:40 cs219-laptop kernel: [  468.808617] rraac2: 06:20:a6:57:ff:32 : tx_count: 39, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:18:40 cs219-laptop kernel: [  468.810869] rraac2: 06:20:a6:57:ff:32 : tx_count: 54, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 19:18:40 cs219-laptop kernel: [  468.819393] rraac2: 06:20:a6:57:ff:32 : tx_count: 94, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 19:18:40 cs219-laptop kernel: [  468.822703] rraac2: 06:20:a6:57:ff:32 : tx_count: 114, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.830062] rraac2: 06:20:a6:57:ff:32 : tx_count: 154, tx_rate: 36M, loss ratio: 13, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.835472] rraac2: 06:20:a6:57:ff:32 : tx_count: 194, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.851220] rraac2: 06:20:a6:57:ff:32 : tx_count: 314, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.860840] rraac2: 06:20:a6:57:ff:32 : tx_count: 394, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.866084] rraac2: 06:20:a6:57:ff:32 : tx_count: 434, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.871152] rraac2: 06:20:a6:57:ff:32 : tx_count: 474, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:18:40 cs219-laptop kernel: [  468.897556] rraac2: 06:20:a6:57:ff:32 : tx_count: 674, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.924231] rraac2: 06:20:a6:57:ff:32 : tx_count: 834, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.928505] rraac2: 06:20:a6:57:ff:32 : tx_count: 874, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.933433] rraac2: 06:20:a6:57:ff:32 : tx_count: 914, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.941665] rraac2: 06:20:a6:57:ff:32 : tx_count: 994, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.989256] rraac2: 06:20:a6:57:ff:32 : tx_count: 1474, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  468.997083] rraac2: 06:20:a6:57:ff:32 : tx_count: 1554, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  469.005145] rraac2: 06:20:a6:57:ff:32 : tx_count: 1594, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  469.011642] rraac2: 06:20:a6:57:ff:32 : tx_count: 1634, tx_rate: 36M, loss ratio: 18, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  469.015326] rraac2: 06:20:a6:57:ff:32 : tx_count: 1674, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  469.020006] rraac2: 06:20:a6:57:ff:32 : tx_count: 1714, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:41 cs219-laptop kernel: [  469.033198] rraac2: 06:20:a6:57:ff:32 : tx_count: 1754, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.064103] rraac2: 06:20:a6:57:ff:32 : tx_count: 1794, tx_rate: 2M, loss ratio: 21, window size: 6
Mar  1 19:18:42 cs219-laptop kernel: [  469.069120] rraac2: 06:20:a6:57:ff:32 : tx_count: 1800, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:18:42 cs219-laptop kernel: [  469.071142] rraac2: 06:20:a6:57:ff:32 : tx_count: 1806, tx_rate: 6M, loss ratio: 14, window size: 6
Mar  1 19:18:42 cs219-laptop kernel: [  469.073318] rraac2: 06:20:a6:57:ff:32 : tx_count: 1812, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:18:42 cs219-laptop kernel: [  469.075902] rraac2: 06:20:a6:57:ff:32 : tx_count: 1822, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:18:42 cs219-laptop kernel: [  469.079724] rraac2: 06:20:a6:57:ff:32 : tx_count: 1837, tx_rate: 12M, loss ratio: 11, window size: 20
Mar  1 19:18:42 cs219-laptop kernel: [  469.083519] rraac2: 06:20:a6:57:ff:32 : tx_count: 1857, tx_rate: 18M, loss ratio: 13, window size: 20
Mar  1 19:18:42 cs219-laptop kernel: [  469.086951] rraac2: 06:20:a6:57:ff:32 : tx_count: 1877, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.092735] rraac2: 06:20:a6:57:ff:32 : tx_count: 1917, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.101766] rraac2: 06:20:a6:57:ff:32 : tx_count: 1997, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.110723] rraac2: 06:20:a6:57:ff:32 : tx_count: 2077, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.119272] rraac2: 06:20:a6:57:ff:32 : tx_count: 2157, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.124933] rraac2: 06:20:a6:57:ff:32 : tx_count: 2197, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.134530] rraac2: 06:20:a6:57:ff:32 : tx_count: 2277, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.141779] rraac2: 06:20:a6:57:ff:32 : tx_count: 2317, tx_rate: 36M, loss ratio: 20, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.145893] rraac2: 06:20:a6:57:ff:32 : tx_count: 2357, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.155840] rraac2: 06:20:a6:57:ff:32 : tx_count: 2437, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:42 cs219-laptop kernel: [  469.169406] rraac2: 06:20:a6:57:ff:32 : tx_count: 2517, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.173364] rraac2: 06:20:a6:57:ff:32 : tx_count: 2557, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.205589] rraac2: 06:20:a6:57:ff:32 : tx_count: 2877, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.221329] rraac2: 06:20:a6:57:ff:32 : tx_count: 2917, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.266080] rraac2: 06:20:a6:57:ff:32 : tx_count: 3357, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.283245] rraac2: 06:20:a6:57:ff:32 : tx_count: 3477, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.288578] rraac2: 06:20:a6:57:ff:32 : tx_count: 3517, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.292359] rraac2: 06:20:a6:57:ff:32 : tx_count: 3557, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.320650] rraac2: 06:20:a6:57:ff:32 : tx_count: 3837, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:43 cs219-laptop kernel: [  469.324535] rraac2: 06:20:a6:57:ff:32 : tx_count: 3877, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.337776] rraac2: 06:20:a6:57:ff:32 : tx_count: 3997, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.341383] rraac2: 06:20:a6:57:ff:32 : tx_count: 4037, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.350224] rraac2: 06:20:a6:57:ff:32 : tx_count: 4117, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.358623] rraac2: 06:20:a6:57:ff:32 : tx_count: 4197, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.405924] rraac2: 06:20:a6:57:ff:32 : tx_count: 4637, tx_rate: 48M, loss ratio: 36, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.411678] rraac2: 06:20:a6:57:ff:32 : tx_count: 4677, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.424049] rraac2: 06:20:a6:57:ff:32 : tx_count: 4757, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:18:44 cs219-laptop kernel: [  469.434182] rraac2: 06:20:a6:57:ff:32 : tx_count: 4837, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.483230] rraac2: 06:20:a6:57:ff:32 : tx_count: 5317, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.493118] rraac2: 06:20:a6:57:ff:32 : tx_count: 5357, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.498636] rraac2: 06:20:a6:57:ff:32 : tx_count: 5397, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.504338] rraac2: 06:20:a6:57:ff:32 : tx_count: 5437, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.517352] rraac2: 06:20:a6:57:ff:32 : tx_count: 5557, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.537731] rraac2: 06:20:a6:57:ff:32 : tx_count: 5757, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.546239] rraac2: 06:20:a6:57:ff:32 : tx_count: 5837, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.568613] rraac2: 06:20:a6:57:ff:32 : tx_count: 6037, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.589433] rraac2: 06:20:a6:57:ff:32 : tx_count: 6237, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 19:18:45 cs219-laptop kernel: [  469.593135] rraac2: 06:20:a6:57:ff:32 : tx_count: 6277, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:18:46 cs219-laptop kernel: [  469.625672] rraac2: 06:20:a6:57:ff:32 : tx_count: 6557, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:18:46 cs219-laptop kernel: [  469.630195] rraac2: 06:20:a6:57:ff:32 : tx_count: 6597, tx_rate: 54M, loss ratio: 0, window size: 40
