Feb 26 17:46:24 cs219-laptop kernel: [ 1328.255837] rraa: 06:20:a6:57:ff:32 : tx_count: 1481, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.261007] rraa: 06:20:a6:57:ff:32 : tx_count: 1521, tx_rate: 48M, loss ratio: 20, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.264970] rraa: 06:20:a6:57:ff:32 : tx_count: 1561, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.270393] rraa: 06:20:a6:57:ff:32 : tx_count: 1601, tx_rate: 48M, loss ratio: 23, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.304580] rraa: 06:20:a6:57:ff:32 : tx_count: 1641, tx_rate: 36M, loss ratio: 25, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.309790] rraa: 06:20:a6:57:ff:32 : tx_count: 1681, tx_rate: 36M, loss ratio: 21, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.314043] rraa: 06:20:a6:57:ff:32 : tx_count: 1721, tx_rate: 36M, loss ratio: 23, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.318810] rraa: 06:20:a6:57:ff:32 : tx_count: 1761, tx_rate: 36M, loss ratio: 21, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.334758] rraa: 06:20:a6:57:ff:32 : tx_count: 1801, tx_rate: 36M, loss ratio: 14, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.339325] rraa: 06:20:a6:57:ff:32 : tx_count: 1841, tx_rate: 36M, loss ratio: 14, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.343347] rraa: 06:20:a6:57:ff:32 : tx_count: 1881, tx_rate: 36M, loss ratio: 14, window size: 40
Feb 26 17:46:24 cs219-laptop kernel: [ 1328.348107] rraa: 06:20:a6:57:ff:32 : tx_count: 1921, tx_rate: 36M, loss ratio: 13, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.366234] rraa: 06:20:a6:57:ff:32 : tx_count: 1961, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.375344] rraa: 06:20:a6:57:ff:32 : tx_count: 2001, tx_rate: 48M, loss ratio: 21, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.382668] rraa: 06:20:a6:57:ff:32 : tx_count: 2041, tx_rate: 36M, loss ratio: 32, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.388521] rraa: 06:20:a6:57:ff:32 : tx_count: 2081, tx_rate: 36M, loss ratio: 31, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.395251] rraa: 06:20:a6:57:ff:32 : tx_count: 2121, tx_rate: 36M, loss ratio: 21, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.401144] rraa: 06:20:a6:57:ff:32 : tx_count: 2161, tx_rate: 36M, loss ratio: 23, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.412035] rraa: 06:20:a6:57:ff:32 : tx_count: 2201, tx_rate: 36M, loss ratio: 24, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.440472] rraa: 06:20:a6:57:ff:32 : tx_count: 2241, tx_rate: 36M, loss ratio: 21, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.447229] rraa: 06:20:a6:57:ff:32 : tx_count: 2281, tx_rate: 36M, loss ratio: 13, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.455659] rraa: 06:20:a6:57:ff:32 : tx_count: 2321, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:25 cs219-laptop kernel: [ 1328.462140] rraa: 06:20:a6:57:ff:32 : tx_count: 2361, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.468909] rraa: 06:20:a6:57:ff:32 : tx_count: 2401, tx_rate: 48M, loss ratio: 16, window size: 40
