output format
<time> <tx rate>

17:46:36 9161, 48M,
17:46:36 9201, 48M,
17:46:36 9241, 48M,
17:46:36 9281, 48M,
17:46:36 9321, 48M,
17:46:36 9361, 48M,
17:46:36 9401, 48M,
17:46:36 9441, 48M,
17:46:36 9481, 48M,
17:46:36 9521, 36M,
17:46:36 9561, 36M,
17:46:36 9601, 36M,
17:46:36 9641, 36M,
17:46:36 9681, 36M,
17:46:37 9721, 48M,
17:46:37 9761, 48M,
17:46:37 9801, 48M,
17:46:37 9841, 48M,
17:46:37 9881, 48M,
17:46:37 9921, 48M,
17:46:37 9961, 48M,
17:46:37 10001, 48M,
17:46:37 10041, 48M,
17:46:37 10081, 48M,
17:46:37 10121, 48M,
17:46:37 10161, 48M,
17:46:37 10201, 48M,
17:46:37 10241, 48M,
17:46:37 10281, 48M,
17:46:37 10321, 48M,
17:46:37 10361, 48M,
17:46:37 10401, 48M,
17:46:37 10441, 54M,
17:46:37 10481, 54M,
17:46:37 10521, 48M,
17:46:38 10561, 48M,
17:46:38 10601, 54M,
17:46:38 10641, 54M,
17:46:38 10681, 54M,
17:46:38 10721, 54M,
17:46:38 10761, 54M,
17:46:38 10801, 48M,
17:46:38 10841, 48M,
17:46:38 10881, 48M,
17:46:38 10921, 48M,
17:46:38 10961, 48M,
17:46:38 11001, 48M,
17:46:38 11041, 48M,
17:46:38 11081, 48M,
17:46:38 11121, 48M,
17:46:38 11161, 48M,
17:46:38 11201, 48M,
17:46:38 11241, 54M,
17:46:38 11281, 48M,
17:46:39 11321, 54M,
17:46:39 11361, 54M,
17:46:39 11401, 48M,
17:46:39 11441, 48M,
17:46:39 11481, 48M,
17:46:39 11521, 48M,
17:46:39 11561, 48M,
17:46:39 11601, 48M,
17:46:39 11641, 48M,
17:46:39 11681, 48M,
17:46:39 11721, 48M,
17:46:39 11761, 48M,
17:46:39 11801, 48M,
17:46:39 11841, 48M,
17:46:39 11881, 48M,
17:46:39 11921, 48M,
17:46:39 11961, 48M,
17:46:39 12001, 48M,
17:46:39 12041, 48M,
17:46:39 12081, 48M,
17:46:39 12121, 48M,
17:46:39 12161, 54M,
17:46:39 12201, 54M,
17:46:40 12241, 48M,
17:46:40 12281, 48M,
17:46:40 12321, 48M,
17:46:40 12361, 48M,
17:46:40 12401, 48M,
17:46:40 12441, 48M,
17:46:40 12481, 48M,
17:46:40 12521, 48M,
17:46:40 12561, 54M,
17:46:40 12601, 54M,
17:46:40 12641, 54M,
17:46:40 12681, 48M,
17:46:40 12721, 54M,
17:46:40 12761, 54M,
17:46:40 12801, 54M,
17:46:40 12841, 54M,
17:46:40 12881, 48M,
17:46:40 12921, 48M,
17:46:40 12961, 48M,
17:46:40 13001, 48M,
17:46:40 13041, 54M,
17:46:40 13081, 54M,
17:46:40 13121, 54M,
17:46:41 13161, 48M,
17:46:41 13201, 48M,
17:46:41 13241, 48M,
17:46:41 13281, 48M,
17:46:41 13321, 48M,
17:46:41 13361, 48M,
17:46:41 13401, 54M,
17:46:41 13441, 54M,
17:46:41 13481, 54M,
17:46:41 13521, 48M,
17:46:41 13561, 48M,
17:46:41 13601, 48M,
17:46:41 13641, 48M,
17:46:41 13681, 48M,
17:46:41 13721, 48M,
17:46:41 13761, 48M,
17:46:41 13801, 48M,
17:46:41 13841, 48M,
17:46:41 13881, 48M,
17:46:41 13921, 48M,
17:46:41 13961, 48M,
17:46:41 14001, 48M,
17:46:42 14041, 48M,
17:46:42 14081, 48M,
17:46:42 14121, 48M,
17:46:42 14161, 48M,
17:46:42 14201, 48M,
17:46:42 14241, 48M,
17:46:42 14281, 48M,
17:46:42 14321, 48M,
17:46:42 14361, 48M,
17:46:42 14401, 48M,
17:46:42 14441, 48M,
17:46:42 14481, 48M,
17:46:42 14521, 48M,
17:46:42 14561, 48M,
17:46:42 14601, 54M,
17:46:42 14641, 48M,
17:46:42 14681, 54M,
17:46:42 14721, 48M,
17:46:42 14761, 48M,
17:46:42 14801, 48M,
17:46:42 14841, 54M,
17:46:42 14881, 54M,
17:46:43 14921, 54M,
17:46:43 14961, 48M,
17:46:43 15001, 48M,
17:46:43 15041, 48M,
17:46:43 15081, 48M,
17:46:43 15121, 48M,
17:46:43 15161, 48M,
17:46:43 15201, 48M,
17:46:43 15241, 54M,
17:46:43 15281, 48M,
17:46:43 15321, 48M,
17:46:43 15361, 48M,
17:46:43 15401, 48M,
17:46:43 15441, 48M,
17:46:43 15481, 48M,
17:46:43 15521, 54M,
17:46:43 15561, 48M,
17:46:43 15601, 48M,
17:46:43 15641, 48M,
17:46:43 15681, 48M,
17:46:43 15721, 48M,
17:46:43 15761, 48M,
17:46:44 15801, 48M,
17:46:44 15841, 48M,
17:46:44 15881, 48M,
17:46:44 15921, 48M,
17:46:44 15961, 54M,
17:46:44 16001, 48M,
17:46:44 16041, 48M,
17:46:44 16081, 48M,
17:46:44 16121, 48M,
17:46:44 16161, 48M,
17:46:44 16201, 48M,
17:46:44 16241, 48M,
17:46:44 16281, 48M,
17:46:44 16321, 36M,
17:46:44 16361, 48M,
17:46:44 16401, 48M,
17:46:44 16441, 48M,
17:46:44 16481, 48M,
17:46:44 16521, 48M,
17:46:44 16561, 48M,
17:46:44 16601, 48M,
17:46:44 16641, 48M,
17:46:45 16681, 48M,
17:46:45 16721, 48M,
17:46:45 16761, 48M,
17:46:45 16801, 48M,
17:46:45 16841, 48M,
17:46:45 16881, 48M,
17:46:45 16921, 48M,
17:46:45 16961, 48M,
17:46:45 17001, 36M,
17:46:45 17041, 36M,
17:46:45 17081, 36M,
17:46:45 17121, 36M,
17:46:45 17161, 36M,
17:46:45 17201, 36M,
17:46:45 17241, 36M,
17:46:45 17281, 36M,
17:46:46 17321, 36M,
17:46:46 17361, 36M,
17:46:46 17401, 36M,
17:46:46 17441, 48M,
17:46:46 17481, 48M,
17:46:46 17521, 48M,
17:46:46 17561, 48M,
17:46:46 17601, 48M,
17:46:46 17641, 48M,
17:46:46 17681, 48M,
17:46:46 17721, 48M,
17:46:46 17761, 48M,
17:46:46 17801, 48M,
17:46:46 17841, 48M,
17:46:46 17881, 48M,
17:46:46 17921, 48M,
17:46:46 17961, 48M,
17:46:46 18001, 48M,
17:46:46 18041, 48M,
17:46:46 18081, 54M,
17:46:46 18121, 54M,
17:46:47 18161, 48M,
17:46:47 18201, 48M,
17:46:47 18241, 54M,
17:46:47 18281, 48M,
17:46:47 18321, 54M,
17:46:47 18361, 54M,
17:46:47 18401, 54M,
17:46:47 18441, 48M,
17:46:47 18481, 48M,
17:46:47 18521, 48M,
17:46:47 18561, 48M,
17:46:47 18601, 48M,
17:46:47 18641, 54M,
17:46:47 18681, 48M,
17:46:47 18721, 48M,
17:46:47 18761, 48M,
17:46:47 18801, 48M,
17:46:47 18841, 48M,
17:46:47 18881, 48M,
17:46:47 18921, 54M,
17:46:47 18961, 54M,
17:46:47 19001, 48M,
17:46:47 19041, 48M,
17:46:48 19081, 48M,
17:46:48 19121, 48M,
17:46:48 19161, 54M,
17:46:48 19201, 48M,
17:46:48 19241, 48M,
17:46:48 19281, 48M,
17:46:48 19321, 48M,
17:46:48 19361, 48M,
17:46:48 19401, 48M,
17:46:48 19441, 48M,
17:46:48 19481, 48M,
17:46:48 19521, 48M,
17:46:48 19561, 48M,
17:46:48 19601, 48M,
17:46:48 19641, 48M,
17:46:48 19681, 48M,
17:46:48 19721, 48M,
17:46:48 19761, 48M,
17:46:48 19801, 48M,
17:46:49 19841, 48M,
17:46:49 19881, 48M,
17:46:49 19921, 48M,
17:46:49 19961, 48M,
17:46:49 20001, 48M,
17:46:49 20041, 48M,
17:46:49 20081, 48M,
17:46:49 20121, 48M,
17:46:49 20161, 48M,
17:46:49 20201, 48M,
17:46:49 20241, 48M,
17:46:49 20281, 48M,
17:46:49 20321, 36M,
17:46:49 20361, 36M,
17:46:49 20401, 48M,
17:46:49 20441, 48M,
17:46:49 20481, 48M,
17:46:49 20521, 48M,
17:46:49 20561, 48M,
17:46:49 20601, 48M,
17:46:49 20641, 54M,
17:46:49 20681, 48M,
17:46:50 20721, 48M,
17:46:50 20761, 48M,
17:46:50 20801, 48M,
17:46:50 20841, 48M,
17:46:50 20881, 54M,
17:46:50 20921, 48M,
17:46:50 20961, 48M,
17:46:50 21001, 54M,
17:46:50 21041, 54M,
17:46:50 21081, 54M,
17:46:50 21121, 48M,
17:46:50 21161, 48M,
17:46:50 21201, 48M,
17:46:50 21241, 54M,
17:46:50 21281, 48M,
17:46:50 21321, 48M,
17:46:50 21361, 54M,
