Mar  1 21:15:23 cs219-laptop kernel: [  159.747591] rraac4: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.756483] rraac4: 06:20:a6:57:ff:32 : tx_count: 81, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.762018] rraac4: 06:20:a6:57:ff:32 : tx_count: 121, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.771128] rraac4: 06:20:a6:57:ff:32 : tx_count: 201, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.775883] rraac4: 06:20:a6:57:ff:32 : tx_count: 241, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.799189] rraac4: 06:20:a6:57:ff:32 : tx_count: 401, tx_rate: 36M, loss ratio: 37, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.802941] rraac4: 06:20:a6:57:ff:32 : tx_count: 441, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 21:15:23 cs219-laptop kernel: [  159.822562] rraac4: 06:20:a6:57:ff:32 : tx_count: 561, tx_rate: 36M, loss ratio: 36, window size: 40
Mar  1 21:15:24 cs219-laptop kernel: [  159.946375] rraac4: 06:20:a6:57:ff:32 : tx_count: 601, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 21:15:25 cs219-laptop kernel: [  160.053542] rraac4: 06:20:a6:57:ff:32 : tx_count: 1361, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:25 cs219-laptop kernel: [  160.061796] rraac4: 06:20:a6:57:ff:32 : tx_count: 1441, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 21:15:25 cs219-laptop kernel: [  160.065896] rraac4: 06:20:a6:57:ff:32 : tx_count: 1481, tx_rate: 36M, loss ratio: 37, window size: 40
Mar  1 21:15:25 cs219-laptop kernel: [  160.074337] rraac4: 06:20:a6:57:ff:32 : tx_count: 1561, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 21:15:26 cs219-laptop kernel: [  160.120506] rraac4: 06:20:a6:57:ff:32 : tx_count: 1921, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:26 cs219-laptop kernel: [  160.128990] rraac4: 06:20:a6:57:ff:32 : tx_count: 2001, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 21:15:26 cs219-laptop kernel: [  160.138096] rraac4: 06:20:a6:57:ff:32 : tx_count: 2081, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:26 cs219-laptop kernel: [  160.142186] rraac4: 06:20:a6:57:ff:32 : tx_count: 2121, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.260864] rraac4: 06:20:a6:57:ff:32 : tx_count: 3161, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.271325] rraac4: 06:20:a6:57:ff:32 : tx_count: 3201, tx_rate: 48M, loss ratio: 45, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.279997] rraac4: 06:20:a6:57:ff:32 : tx_count: 3241, tx_rate: 36M, loss ratio: 35, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.297083] rraac4: 06:20:a6:57:ff:32 : tx_count: 3361, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.314556] rraac4: 06:20:a6:57:ff:32 : tx_count: 3441, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.318538] rraac4: 06:20:a6:57:ff:32 : tx_count: 3481, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.330729] rraac4: 06:20:a6:57:ff:32 : tx_count: 3601, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.339318] rraac4: 06:20:a6:57:ff:32 : tx_count: 3681, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.368026] rraac4: 06:20:a6:57:ff:32 : tx_count: 3961, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.372592] rraac4: 06:20:a6:57:ff:32 : tx_count: 4001, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:15:27 cs219-laptop kernel: [  160.389470] rraac4: 06:20:a6:57:ff:32 : tx_count: 4161, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.411647] rraac4: 06:20:a6:57:ff:32 : tx_count: 4321, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.448092] rraac4: 06:20:a6:57:ff:32 : tx_count: 4641, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.452745] rraac4: 06:20:a6:57:ff:32 : tx_count: 4681, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.460715] rraac4: 06:20:a6:57:ff:32 : tx_count: 4761, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.465033] rraac4: 06:20:a6:57:ff:32 : tx_count: 4801, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.468637] rraac4: 06:20:a6:57:ff:32 : tx_count: 4841, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:15:28 cs219-laptop kernel: [  160.483537] rraac4: 06:20:a6:57:ff:32 : tx_count: 4961, tx_rate: 48M, loss ratio: 18, window size: 40
