Mar  1 16:09:32 cs219-laptop kernel: [  899.538711] rraac2: 06:20:a6:57:ff:32 : tx_count: 35889, tx_rate: 24M, loss ratio: 98, window size: 40
Mar  1 16:09:32 cs219-laptop kernel: [  899.542672] rraac2: 06:20:a6:57:ff:32 : tx_count: 35917, tx_rate: 18M, loss ratio: 84, window size: 20
Mar  1 16:09:32 cs219-laptop kernel: [  899.543781] rraac2: 06:20:a6:57:ff:32 : tx_count: 35937, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 16:09:32 cs219-laptop kernel: [  899.546122] rraac2: 06:20:a6:57:ff:32 : tx_count: 35977, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 16:09:32 cs219-laptop kernel: [  899.548120] rraac2: 06:20:a6:57:ff:32 : tx_count: 36017, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 16:09:32 cs219-laptop kernel: [  899.556610] rraac2: 06:20:a6:57:ff:32 : tx_count: 36063, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  1 16:11:34 cs219-laptop kernel: [  912.601130] rraac3: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 16:11:34 cs219-laptop kernel: [  912.615100] rraac3: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.628002] rraac3: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.637905] rraac3: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 18M, loss ratio: 88, window size: 20
Mar  1 16:11:35 cs219-laptop kernel: [  912.639561] rraac3: 06:20:a6:57:ff:32 : tx_count: 45, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.643505] rraac3: 06:20:a6:57:ff:32 : tx_count: 85, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.647032] rraac3: 06:20:a6:57:ff:32 : tx_count: 125, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.665419] rraac3: 06:20:a6:57:ff:32 : tx_count: 143, tx_rate: 36M, loss ratio: 93, window size: 40
Mar  1 16:11:35 cs219-laptop kernel: [  912.680552] rraac3: 06:20:a6:57:ff:32 : tx_count: 143, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 16:11:36 cs219-laptop kernel: [  912.711307] rraac3: 06:20:a6:57:ff:32 : tx_count: 166, tx_rate: 2M, loss ratio: 25, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.712226] rraac3: 06:20:a6:57:ff:32 : tx_count: 172, tx_rate: 5M, loss ratio: 33, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.712840] rraac3: 06:20:a6:57:ff:32 : tx_count: 178, tx_rate: 2M, loss ratio: 40, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.713512] rraac3: 06:20:a6:57:ff:32 : tx_count: 184, tx_rate: 1M, loss ratio: 57, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.726475] rraac3: 06:20:a6:57:ff:32 : tx_count: 202, tx_rate: 2M, loss ratio: 14, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.730750] rraac3: 06:20:a6:57:ff:32 : tx_count: 208, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.744098] rraac3: 06:20:a6:57:ff:32 : tx_count: 214, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.748259] rraac3: 06:20:a6:57:ff:32 : tx_count: 220, tx_rate: 5M, loss ratio: 50, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.758416] rraac3: 06:20:a6:57:ff:32 : tx_count: 226, tx_rate: 6M, loss ratio: 33, window size: 6
Mar  1 16:11:36 cs219-laptop kernel: [  912.762721] rraac3: 06:20:a6:57:ff:32 : tx_count: 232, tx_rate: 9M, loss ratio: 25, window size: 10
Mar  1 16:11:37 cs219-laptop kernel: [  912.809273] rraac3: 06:20:a6:57:ff:32 : tx_count: 242, tx_rate: 11M, loss ratio: 16, window size: 15
Mar  1 16:11:37 cs219-laptop kernel: [  912.859801] rraac3: 06:20:a6:57:ff:32 : tx_count: 287, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 16:11:37 cs219-laptop kernel: [  912.864528] rraac3: 06:20:a6:57:ff:32 : tx_count: 307, tx_rate: 11M, loss ratio: 37, window size: 15
Mar  1 16:11:37 cs219-laptop kernel: [  912.872969] rraac3: 06:20:a6:57:ff:32 : tx_count: 316, tx_rate: 9M, loss ratio: 88, window size: 10
Mar  1 16:11:37 cs219-laptop kernel: [  912.874002] rraac3: 06:20:a6:57:ff:32 : tx_count: 326, tx_rate: 6M, loss ratio: 44, window size: 6
Mar  1 16:11:37 cs219-laptop kernel: [  912.874581] rraac3: 06:20:a6:57:ff:32 : tx_count: 332, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 16:11:37 cs219-laptop kernel: [  912.876030] rraac3: 06:20:a6:57:ff:32 : tx_count: 342, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 16:11:37 cs219-laptop kernel: [  912.880734] rraac3: 06:20:a6:57:ff:32 : tx_count: 372, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 16:11:37 cs219-laptop kernel: [  912.893556] rraac3: 06:20:a6:57:ff:32 : tx_count: 387, tx_rate: 11M, loss ratio: 81, window size: 15
Mar  1 16:11:38 cs219-laptop kernel: [  912.914051] rraac3: 06:20:a6:57:ff:32 : tx_count: 398, tx_rate: 9M, loss ratio: 84, window size: 10
Mar  1 16:11:38 cs219-laptop kernel: [  912.915524] rraac3: 06:20:a6:57:ff:32 : tx_count: 408, tx_rate: 11M, loss ratio: 9, window size: 15
